# NodeIndex	Triplet	K-Node1	Node2-K	Intercept
1	0.030	0.024	0.127	0.002
2	0.050	0.043	0.034	0.042
3	0.079	0.280	0.185	0.031
4	0.051	0.142	0.094	0.009
5	0.178	0.206	0.064	0.055
6	0.006	0.021	0.042	0.000
7	0.091	0.200	0.186	0.023
8	0.186	0.189	0.106	0.198
9	0.047	0.188	0.192	0.063
10	0.068	0.181	0.134	0.063
11	0.014	0.067	0.114	0.019
12	0.000	0.000	0.474	0.000
13	0.000	0.000	0.000	0.000
14	0.000	0.000	0.640	0.000
15	0.061	0.362	0.049	0.062
16	0.021	0.044	0.098	0.045
17	0.000	0.510	0.000	0.000
18	0.000	0.000	0.000	0.000
19	0.000	0.001	0.000	0.000
20	0.075	0.058	0.148	0.018
21	0.131	0.193	0.283	0.102
22	0.086	0.172	0.162	0.081
23	0.053	0.087	0.172	0.004
24	0.084	0.109	0.161	0.005
25	0.123	0.225	0.090	0.038
26	0.049	0.096	0.069	0.027
27	0.040	0.049	0.101	0.123
28	0.043	0.031	0.072	0.030
29	0.098	0.131	0.212	0.036
30	0.073	0.004	0.017	0.000
31	0.061	0.033	0.029	0.047
32	0.035	0.064	0.036	0.013
33	0.069	0.073	0.133	0.017
34	0.159	0.195	0.063	0.063
35	0.328	0.166	0.115	0.056
36	0.250	0.187	0.143	0.142
37	0.075	0.084	0.141	0.100
38	0.270	0.106	0.089	0.074
39	0.111	0.044	0.036	0.025
40	0.036	0.114	0.085	0.052
41	0.071	0.104	0.014	0.085
42	0.054	0.058	0.048	0.002
43	0.031	0.082	0.161	0.053
44	0.003	0.024	0.005	0.001
45	0.031	0.041	0.038	0.001
46	0.039	0.099	0.042	0.035
47	0.076	0.097	0.088	0.091
48	0.107	0.116	0.125	0.050
49	0.096	0.065	0.019	0.062
50	0.026	0.028	0.035	0.003
51	0.009	0.026	0.026	0.001
52	0.032	0.066	0.091	0.046
53	0.030	0.090	0.036	0.009
54	0.058	0.099	0.036	0.028
