# NodeIndex	Triplet	K-Node1	Node2-K	Intercept
1	0.022	0.045	0.049	0.006
2	0.122	0.093	0.116	0.025
3	0.169	0.128	0.069	0.040
4	0.168	0.200	0.037	0.104
5	0.102	0.032	0.158	0.093
6	0.091	0.025	0.059	0.013
7	0.149	0.056	0.120	0.008
8	0.219	0.059	0.118	0.132
9	0.090	0.027	0.080	0.047
10	0.061	0.109	0.205	0.106
11	0.029	0.056	0.093	0.029
12	0.066	0.021	0.153	0.104
13	0.162	0.087	0.158	0.162
14	0.174	0.115	0.195	0.189
15	0.104	0.070	0.130	0.088
16	0.100	0.132	0.016	0.002
17	0.057	0.107	0.198	0.006
18	0.191	0.099	0.080	0.072
19	0.001	0.007	0.008	0.004
20	0.026	0.082	0.012	0.030
21	0.066	0.099	0.167	0.011
22	0.056	0.058	0.150	0.003
23	0.038	0.105	0.046	0.021
24	0.080	0.105	0.127	0.020
25	0.043	0.047	0.018	0.003
26	0.159	0.034	0.074	0.006
27	0.087	0.082	0.056	0.017
28	0.056	0.014	0.093	0.009
29	0.089	0.065	0.086	0.031
30	0.015	0.014	0.029	0.001
31	0.015	0.183	0.043	0.011
32	0.015	0.293	0.048	0.035
33	0.000	0.000	0.001	0.000
34	0.000	0.000	0.000	0.000
35	0.000	0.000	0.000	0.000
36	0.000	0.000	0.000	0.000
37	0.000	0.001	0.000	0.000
38	0.103	0.068	0.019	0.034
39	0.054	0.157	0.118	0.055
40	0.196	0.040	0.046	0.080
41	0.007	0.072	0.081	0.004
42	0.086	0.027	0.079	0.021
43	0.090	0.102	0.169	0.031
44	0.004	0.036	0.014	0.001
45	0.023	0.106	0.036	0.016
46	0.026	0.089	0.074	0.013
47	0.031	0.109	0.094	0.023
48	0.062	0.136	0.071	0.010
49	0.027	0.071	0.149	0.083
50	0.039	0.095	0.047	0.014
51	0.002	0.033	0.008	0.003
52	0.052	0.057	0.010	0.073
53	0.025	0.128	0.057	0.008
54	0.069	0.101	0.046	0.009
