# NodeIndex	Triplet	K-Node1	Node2-K	Intercept
1	0.056	0.048	0.015	0.028
2	0.000	0.000	0.175	0.000
3	0.000	0.000	0.000	0.000
4	0.000	0.000	0.726	0.000
5	0.000	0.000	0.221	0.000
6	0.013	0.161	0.149	0.001
7	0.314	0.496	0.053	0.097
8	0.240	0.389	0.121	0.306
9	0.329	0.332	0.147	0.092
10	0.079	0.086	0.078	0.099
11	0.015	0.052	0.072	0.003
12	0.058	0.218	0.067	0.083
13	0.112	0.216	0.222	0.105
14	0.141	0.103	0.123	0.052
15	0.135	0.241	0.038	0.090
16	0.004	0.018	0.204	0.009
17	0.074	0.117	0.032	0.011
18	0.116	0.138	0.146	0.052
19	0.002	0.010	0.001	0.000
20	0.049	0.158	0.068	0.002
21	0.106	0.042	0.054	0.021
22	0.001	0.063	0.144	0.029
23	0.080	0.143	0.013	0.023
24	0.131	0.203	0.021	0.066
25	0.019	0.111	0.052	0.005
26	0.005	0.044	0.052	0.017
27	0.010	0.147	0.035	0.010
28	0.014	0.030	0.013	0.010
29	0.147	0.123	0.075	0.058
30	0.001	0.004	0.051	0.003
31	0.099	0.015	0.029	0.098
32	0.109	0.029	0.090	0.068
33	0.000	0.000	0.000	0.000
34	0.000	0.000	0.000	0.000
35	0.000	0.339	0.000	0.000
36	0.198	0.067	0.144	0.044
37	0.021	0.044	0.029	0.001
38	0.134	0.132	0.030	0.080
39	0.027	0.069	0.220	0.016
40	0.158	0.120	0.077	0.020
41	0.021	0.075	0.035	0.007
42	0.083	0.058	0.022	0.016
43	0.156	0.287	0.020	0.048
44	0.004	0.024	0.022	0.019
45	0.109	0.014	0.060	0.003
46	0.080	0.174	0.102	0.004
47	0.280	0.029	0.075	0.014
48	0.018	0.121	0.089	0.021
49	0.078	0.149	0.108	0.039
50	0.014	0.053	0.097	0.011
51	0.004	0.012	0.008	0.000
52	0.067	0.050	0.044	0.035
53	0.025	0.040	0.063	0.006
54	0.059	0.068	0.032	0.020
