# NodeIndex	Triplet	K-Node1	Node2-K	Intercept
1	0.163	0.017	0.000	0.044
2	0.000	0.017	0.000	0.000
3	0.001	0.000	0.000	0.000
4	0.000	0.000	0.000	0.000
5	0.000	0.017	0.212	0.000
6	0.000	0.080	0.001	0.000
7	0.001	0.000	0.000	0.006
8	0.000	0.001	0.000	0.000
9	0.000	0.000	0.000	0.000
10	0.000	0.000	0.000	0.000
11	0.000	0.000	0.000	0.000
12	0.000	0.210	0.000	0.041
13	0.000	0.231	0.000	0.065
14	0.000	0.212	0.000	0.000
15	0.498	0.080	0.000	0.001
16	0.000	0.000	0.000	0.001
17	0.000	0.001	0.000	0.000
18	0.000	0.001	0.000	0.001
19	0.000	0.005	0.000	0.000
20	0.515	0.000	0.000	0.156
21	0.000	0.000	0.000	0.000
22	0.000	0.005	0.000	0.004
23	0.020	0.000	0.000	0.000
24	0.000	0.220	0.000	0.000
25	0.000	0.017	0.000	0.008
26	0.005	0.200	0.000	0.000
27	0.000	0.163	0.000	0.000
28	0.000	0.000	0.000	0.000
29	0.000	0.000	0.000	0.000
30	0.000	0.000	0.648	0.044
31	0.000	0.005	0.000	0.000
32	0.000	0.005	0.000	0.000
33	0.000	0.000	0.000	0.000
34	0.000	0.200	0.000	0.041
35	0.000	0.000	0.000	0.000
36	0.000	0.200	0.000	0.002
37	0.000	0.017	0.000	0.001
38	0.000	0.000	0.000	0.044
39	0.000	0.000	0.000	0.000
40	0.000	0.000	0.000	0.000
41	0.000	0.000	0.000	0.000
42	0.000	0.096	0.000	0.000
43	0.000	0.000	0.000	0.000
44	0.000	0.000	0.000	0.000
45	0.182	0.163	0.008	0.000
46	0.000	0.005	0.241	0.212
47	0.000	0.005	0.265	0.050
48	0.163	0.015	0.126	0.072
49	0.000	0.000	0.576	0.000
50	0.000	0.000	0.033	0.003
51	0.000	0.000	0.411	0.007
52	0.000	0.127	0.033	0.227
53	0.000	0.345	0.150	0.004
54	0.021	0.177	0.176	0.177
