# NodeIndex	Triplet	K-Node1	Node2-K	Intercept
1	0.031	0.069	0.034	0.013
2	0.040	0.032	0.041	0.003
3	0.082	0.113	0.227	0.217
4	0.023	0.010	0.053	0.013
5	0.151	0.060	0.233	0.022
6	0.004	0.024	0.028	0.012
7	0.172	0.421	0.090	0.212
8	0.419	0.285	0.118	0.285
9	0.000	0.000	0.130	0.000
10	0.000	0.000	0.000	0.000
11	0.000	0.000	0.004	0.000
12	0.009	0.019	0.256	0.081
13	0.161	0.130	0.277	0.185
14	0.168	0.162	0.125	0.187
15	0.112	0.278	0.144	0.116
16	0.037	0.069	0.157	0.003
17	0.262	0.176	0.069	0.096
18	0.283	0.137	0.175	0.061
19	0.008	0.009	0.005	0.003
20	0.115	0.025	0.028	0.032
21	0.066	0.045	0.065	0.041
22	0.021	0.016	0.080	0.001
23	0.099	0.263	0.134	0.021
24	0.118	0.280	0.231	0.023
25	0.012	0.030	0.047	0.002
26	0.128	0.151	0.093	0.059
27	0.025	0.121	0.055	0.044
28	0.011	0.155	0.103	0.003
29	0.222	0.220	0.058	0.108
30	0.042	0.002	0.008	0.007
31	0.091	0.017	0.022	0.091
32	0.038	0.017	0.135	0.004
33	0.000	0.082	0.000	0.000
34	0.000	0.406	0.000	0.000
35	0.000	0.000	0.000	0.000
36	0.000	0.698	0.000	0.000
37	0.000	0.165	0.000	0.000
38	0.177	0.178	0.058	0.112
39	0.067	0.036	0.127	0.042
40	0.015	0.043	0.135	0.003
41	0.010	0.043	0.112	0.013
42	0.027	0.097	0.071	0.012
43	0.042	0.294	0.108	0.038
44	0.018	0.010	0.006	0.016
45	0.009	0.003	0.022	0.002
46	0.010	0.159	0.052	0.070
47	0.186	0.043	0.044	0.018
48	0.122	0.102	0.036	0.055
49	0.082	0.124	0.072	0.042
50	0.025	0.023	0.067	0.002
51	0.003	0.036	0.024	0.002
52	0.092	0.038	0.059	0.011
53	0.017	0.055	0.126	0.012
54	0.072	0.048	0.120	0.020
