# NodeIndex	Triplet	K-Node1	Node2-K	Intercept
1	0.028	0.014	0.010	0.003
2	0.077	0.075	0.018	0.016
3	0.023	0.370	0.187	0.042
4	0.088	0.099	0.085	0.026
5	0.196	0.203	0.033	0.135
6	0.009	0.075	0.016	0.005
7	0.027	0.250	0.019	0.065
8	0.134	0.285	0.014	0.018
9	0.076	0.180	0.174	0.041
10	0.074	0.106	0.094	0.066
11	0.050	0.054	0.120	0.037
12	0.000	0.000	0.262	0.000
13	0.000	0.000	0.000	0.000
14	0.000	0.000	0.376	0.000
15	0.039	0.282	0.054	0.100
16	0.003	0.035	0.237	0.001
17	0.284	0.289	0.147	0.069
18	0.232	0.340	0.128	0.248
19	0.000	0.005	0.000	0.000
20	0.000	0.209	0.000	0.000
21	0.000	0.000	0.000	0.000
22	0.000	0.496	0.000	0.000
23	0.000	0.132	0.000	0.000
24	0.000	0.228	0.000	0.001
25	0.064	0.200	0.270	0.062
26	0.163	0.073	0.029	0.007
27	0.053	0.135	0.018	0.023
28	0.035	0.033	0.102	0.006
29	0.031	0.181	0.059	0.074
30	0.002	0.005	0.013	0.000
31	0.006	0.118	0.029	0.032
32	0.002	0.112	0.019	0.017
33	0.057	0.190	0.011	0.052
34	0.029	0.217	0.019	0.072
35	0.131	0.170	0.018	0.156
36	0.196	0.212	0.067	0.200
37	0.058	0.251	0.017	0.084
38	0.043	0.331	0.050	0.069
39	0.114	0.016	0.035	0.036
40	0.082	0.073	0.059	0.021
41	0.108	0.081	0.009	0.049
42	0.053	0.080	0.059	0.022
43	0.085	0.143	0.100	0.064
44	0.001	0.027	0.059	0.001
45	0.007	0.029	0.056	0.022
46	0.001	0.071	0.024	0.009
47	0.029	0.078	0.064	0.036
48	0.025	0.097	0.140	0.088
49	0.067	0.147	0.019	0.005
50	0.010	0.033	0.056	0.008
51	0.018	0.004	0.039	0.004
52	0.018	0.035	0.055	0.049
53	0.037	0.067	0.031	0.011
54	0.034	0.105	0.018	0.014
