# NodeIndex	Triplet	K-Node1	Node2-K	Intercept
1	0.033	0.142	0.064	0.071
2	0.000	0.000	0.131	0.000
3	0.000	0.000	0.000	0.000
4	0.000	0.000	0.683	0.000
5	0.000	0.000	0.000	0.000
6	0.000	0.068	0.000	0.000
7	0.000	0.000	0.000	0.000
8	0.000	0.794	0.000	0.000
9	0.157	0.538	0.077	0.071
10	0.127	0.141	0.440	0.061
11	0.017	0.026	0.049	0.015
12	0.049	0.259	0.157	0.026
13	0.123	0.268	0.142	0.040
14	0.107	0.181	0.138	0.197
15	0.183	0.231	0.090	0.151
16	0.007	0.022	0.043	0.011
17	0.036	0.142	0.161	0.067
18	0.045	0.189	0.125	0.142
19	0.004	0.008	0.072	0.002
20	0.014	0.122	0.076	0.019
21	0.029	0.136	0.079	0.025
22	0.024	0.061	0.025	0.038
23	0.107	0.231	0.106	0.059
24	0.084	0.199	0.068	0.169
25	0.013	0.176	0.111	0.001
26	0.090	0.040	0.127	0.038
27	0.087	0.050	0.057	0.044
28	0.030	0.062	0.103	0.009
29	0.150	0.128	0.112	0.141
30	0.021	0.015	0.031	0.006
31	0.082	0.050	0.033	0.010
32	0.027	0.075	0.029	0.004
33	0.044	0.038	0.109	0.024
34	0.096	0.149	0.053	0.130
35	0.148	0.210	0.119	0.140
36	0.158	0.124	0.068	0.088
37	0.076	0.069	0.113	0.005
38	0.214	0.099	0.081	0.092
39	0.019	0.060	0.060	0.081
40	0.031	0.095	0.043	0.017
41	0.037	0.080	0.038	0.050
42	0.032	0.086	0.119	0.038
43	0.200	0.117	0.082	0.096
44	0.011	0.022	0.027	0.006
45	0.009	0.035	0.083	0.015
46	0.132	0.072	0.065	0.094
47	0.097	0.111	0.112	0.055
48	0.120	0.063	0.091	0.073
49	0.034	0.112	0.074	0.109
50	0.028	0.029	0.041	0.003
51	0.012	0.009	0.054	0.006
52	0.056	0.061	0.060	0.017
53	0.028	0.073	0.054	0.045
54	0.044	0.097	0.048	0.063
