# NodeIndex	Triplet	K-Node1	Node2-K	Intercept
1	0.141	0.000	0.046	0.008
2	0.037	0.000	0.000	0.001
3	0.000	0.001	0.040	0.003
4	0.000	0.000	0.000	0.016
5	0.011	0.001	0.001	0.000
6	0.001	0.000	0.000	0.000
7	0.000	0.328	0.040	0.055
8	0.002	0.130	0.000	0.000
9	0.000	0.000	0.047	0.000
10	0.000	0.000	0.000	0.000
11	0.000	0.000	0.000	0.000
12	0.003	0.034	0.002	0.002
13	0.024	0.367	0.000	0.020
14	0.011	0.057	0.000	0.066
15	0.000	0.132	0.000	0.012
16	0.037	0.035	0.358	0.000
17	0.000	0.074	0.007	0.019
18	0.000	0.364	0.007	0.000
19	0.169	0.006	0.003	0.006
20	0.007	0.167	0.000	0.000
21	0.003	0.021	0.000	0.006
22	0.039	0.007	0.000	0.042
23	0.000	0.337	0.000	0.063
24	0.130	0.341	0.000	0.002
25	0.000	0.037	0.007	0.001
26	0.000	0.137	0.000	0.010
27	0.097	0.501	0.000	0.002
28	0.011	0.024	0.007	0.000
29	0.031	0.181	0.139	0.063
30	0.024	0.000	0.007	0.000
31	0.140	0.032	0.000	0.000
32	0.130	0.000	0.026	0.003
33	0.000	0.010	0.000	0.000
34	0.037	0.335	0.058	0.056
35	0.055	0.171	0.000	0.003
36	0.153	0.159	0.007	0.003
37	0.000	0.328	0.050	0.054
38	0.337	0.025	0.000	0.043
39	0.000	0.053	0.000	0.002
40	0.000	0.000	0.012	0.573
41	0.000	0.000	0.000	0.002
42	0.000	0.000	0.458	0.003
43	0.000	0.044	0.538	0.004
44	0.032	0.000	0.000	0.000
45	0.000	0.165	0.370	0.030
46	0.042	0.014	0.575	0.034
47	0.006	0.039	0.040	0.005
48	0.253	0.219	0.540	0.018
49	0.000	0.000	0.343	0.031
50	0.022	0.031	0.139	0.002
51	0.000	0.000	0.000	0.000
52	0.000	0.000	0.000	0.000
53	0.000	0.003	0.000	0.000
54	0.000	0.002	0.000	0.000
