# NodeIndex	Triplet	K-Node1	Node2-K	Intercept
1	0.046	0.006	0.096	0.009
2	0.046	0.085	0.126	0.007
3	0.069	0.240	0.115	0.019
4	0.075	0.138	0.087	0.077
5	0.056	0.036	0.068	0.014
6	0.034	0.072	0.049	0.012
7	0.084	0.188	0.031	0.053
8	0.114	0.030	0.022	0.100
9	0.068	0.093	0.024	0.037
10	0.010	0.053	0.076	0.035
11	0.178	0.052	0.034	0.065
12	0.096	0.160	0.108	0.068
13	0.150	0.068	0.090	0.013
14	0.223	0.144	0.028	0.025
15	0.269	0.179	0.055	0.080
16	0.052	0.035	0.079	0.005
17	0.110	0.049	0.075	0.012
18	0.070	0.057	0.091	0.025
19	0.034	0.006	0.021	0.015
20	0.056	0.057	0.058	0.052
21	0.082	0.067	0.153	0.019
22	0.059	0.036	0.025	0.023
23	0.091	0.157	0.010	0.009
24	0.068	0.118	0.010	0.064
25	0.150	0.173	0.072	0.034
26	0.041	0.078	0.006	0.003
27	0.016	0.163	0.028	0.035
28	0.015	0.030	0.031	0.021
29	0.018	0.047	0.084	0.073
30	0.010	0.022	0.006	0.008
31	0.022	0.072	0.086	0.017
32	0.018	0.082	0.082	0.008
33	0.013	0.032	0.070	0.010
34	0.011	0.127	0.221	0.069
35	0.180	0.121	0.213	0.012
36	0.103	0.120	0.188	0.012
37	0.012	0.017	0.039	0.035
38	0.069	0.160	0.016	0.009
39	0.027	0.114	0.040	0.013
40	0.025	0.156	0.142	0.017
41	0.053	0.064	0.066	0.058
42	0.000	0.000	0.282	0.000
43	0.000	0.000	0.000	0.000
44	0.000	0.000	0.000	0.000
45	0.132	0.071	0.058	0.021
46	0.228	0.109	0.073	0.081
47	0.041	0.135	0.135	0.076
48	0.003	0.142	0.205	0.005
49	0.043	0.246	0.229	0.219
50	0.152	0.311	0.192	0.132
51	0.000	0.000	0.000	0.000
52	0.000	0.000	0.000	0.000
53	0.000	0.006	0.000	0.000
54	0.000	0.016	0.000	0.000
