# NodeIndex	Triplet	K-Node1	Node2-K	Intercept
1	0.024	0.102	0.009	0.005
2	0.091	0.197	0.015	0.003
3	0.357	0.312	0.199	0.314
4	0.033	0.021	0.241	0.013
5	0.042	0.044	0.218	0.030
6	0.016	0.000	0.151	0.004
7	0.273	0.048	0.148	0.074
8	0.000	0.000	0.425	0.000
9	0.000	0.000	0.000	0.000
10	0.000	0.000	0.237	0.000
11	0.170	0.138	0.013	0.007
12	0.217	0.098	0.286	0.126
13	0.343	0.193	0.042	0.035
14	0.052	0.146	0.202	0.186
15	0.221	0.048	0.343	0.143
16	0.046	0.124	0.033	0.000
17	0.107	0.160	0.059	0.108
18	0.076	0.082	0.041	0.043
19	0.050	0.037	0.083	0.000
20	0.158	0.016	0.232	0.017
21	0.030	0.216	0.187	0.013
22	0.119	0.106	0.134	0.026
23	0.077	0.039	0.030	0.047
24	0.063	0.023	0.033	0.058
25	0.080	0.388	0.048	0.051
26	0.030	0.074	0.015	0.014
27	0.027	0.064	0.017	0.018
28	0.055	0.025	0.030	0.013
29	0.050	0.074	0.139	0.034
30	0.010	0.000	0.012	0.000
31	0.071	0.118	0.003	0.003
32	0.069	0.107	0.006	0.016
33	0.130	0.084	0.019	0.007
34	0.142	0.062	0.061	0.069
35	0.009	0.091	0.053	0.098
36	0.110	0.109	0.059	0.071
37	0.020	0.123	0.034	0.008
38	0.101	0.156	0.217	0.116
39	0.085	0.053	0.121	0.010
40	0.029	0.160	0.130	0.054
41	0.007	0.140	0.131	0.015
42	0.000	0.471	0.000	0.000
43	0.000	0.000	0.000	0.000
44	0.000	0.000	0.000	0.000
45	0.051	0.014	0.114	0.009
46	0.028	0.155	0.106	0.001
47	0.064	0.223	0.118	0.043
48	0.121	0.251	0.131	0.033
49	0.010	0.099	0.194	0.110
50	0.043	0.142	0.253	0.007
51	0.029	0.014	0.009	0.001
52	0.080	0.080	0.107	0.013
53	0.023	0.015	0.027	0.009
54	0.013	0.029	0.046	0.007
