# NodeIndex	Triplet	K-Node1	Node2-K	Intercept
1	0.000	0.000	0.000	0.000
2	0.000	0.000	0.004	0.000
3	0.001	0.005	0.000	0.002
4	0.002	0.528	0.000	0.028
5	0.003	0.051	0.000	0.004
6	0.001	0.004	0.012	0.000
7	0.487	0.050	0.000	0.011
8	0.005	0.004	0.000	0.009
9	0.000	0.086	0.005	0.001
10	0.044	0.085	0.000	0.079
11	0.005	0.019	0.036	0.001
12	0.000	0.000	0.536	0.000
13	0.000	0.000	0.000	0.000
14	0.000	0.000	0.136	0.000
15	0.171	0.540	0.001	0.039
16	0.000	0.043	0.002	0.071
17	0.017	0.567	0.003	0.003
18	0.010	0.572	0.000	0.011
19	0.000	0.000	0.001	0.000
20	0.264	0.013	0.000	0.000
21	0.000	0.054	0.053	0.004
22	0.000	0.046	0.004	0.026
23	0.000	0.000	0.344	0.019
24	0.344	0.005	0.002	0.000
25	0.017	0.532	0.000	0.094
26	0.079	0.051	0.267	0.144
27	0.000	0.000	0.345	0.015
28	0.051	0.007	0.000	0.002
29	0.002	0.017	0.265	0.010
30	0.043	0.000	0.000	0.001
31	0.081	0.043	0.001	0.342
32	0.001	0.281	0.123	0.000
33	0.000	0.000	0.079	0.000
34	0.264	0.053	0.060	0.017
35	0.068	0.006	0.612	0.008
36	0.751	0.040	0.045	0.046
37	0.001	0.051	0.024	0.027
38	0.007	0.017	0.051	0.001
39	0.000	0.000	0.017	0.122
40	0.004	0.000	0.000	0.000
41	0.000	0.001	0.004	0.000
42	0.001	0.000	0.000	0.000
43	0.079	0.043	0.524	0.000
44	0.000	0.000	0.000	0.000
45	0.000	0.004	0.488	0.003
46	0.566	0.264	0.001	0.007
47	0.000	0.264	0.036	0.011
48	0.002	0.043	0.021	0.117
49	0.264	0.000	0.487	0.000
50	0.017	0.000	0.488	0.003
51	0.000	0.000	0.000	0.000
52	0.000	0.000	0.000	0.000
53	0.000	0.000	0.000	0.000
54	0.000	0.000	0.000	0.000
