# NodeIndex	Triplet	K-Node1	Node2-K	Intercept
1	0.011	0.030	0.078	0.010
2	0.069	0.014	0.079	0.041
3	0.054	0.154	0.159	0.135
4	0.030	0.038	0.087	0.100
5	0.174	0.087	0.245	0.093
6	0.002	0.005	0.046	0.000
7	0.032	0.194	0.153	0.011
8	0.127	0.194	0.128	0.055
9	0.242	0.044	0.124	0.068
10	0.121	0.121	0.178	0.096
11	0.007	0.169	0.111	0.024
12	0.250	0.209	0.205	0.116
13	0.387	0.222	0.156	0.221
14	0.357	0.251	0.191	0.123
15	0.049	0.091	0.160	0.019
16	0.003	0.172	0.126	0.054
17	0.000	0.000	0.550	0.000
18	0.000	0.000	0.000	0.000
19	0.000	0.000	0.000	0.000
20	0.104	0.075	0.128	0.037
21	0.254	0.269	0.173	0.059
22	0.080	0.121	0.140	0.039
23	0.009	0.162	0.081	0.002
24	0.045	0.178	0.158	0.071
25	0.008	0.113	0.060	0.004
26	0.056	0.033	0.218	0.039
27	0.137	0.107	0.020	0.077
28	0.026	0.164	0.070	0.015
29	0.077	0.163	0.100	0.056
30	0.015	0.007	0.029	0.010
31	0.029	0.012	0.033	0.034
32	0.004	0.070	0.104	0.003
33	0.105	0.143	0.068	0.001
34	0.174	0.094	0.072	0.066
35	0.000	0.607	0.000	0.000
36	0.000	0.000	0.000	0.000
37	0.000	0.001	0.000	0.000
38	0.062	0.149	0.019	0.134
39	0.043	0.072	0.023	0.008
40	0.042	0.074	0.117	0.007
41	0.009	0.020	0.027	0.001
42	0.049	0.022	0.017	0.016
43	0.066	0.106	0.158	0.035
44	0.017	0.010	0.014	0.011
45	0.056	0.023	0.086	0.004
46	0.095	0.013	0.098	0.014
47	0.161	0.077	0.026	0.039
48	0.089	0.074	0.109	0.016
49	0.029	0.120	0.050	0.038
50	0.018	0.010	0.063	0.024
51	0.030	0.005	0.010	0.001
52	0.028	0.016	0.151	0.030
53	0.022	0.061	0.052	0.023
54	0.061	0.050	0.043	0.029
