# NodeIndex	Triplet	K-Node1	Node2-K	Intercept
1	0.150	0.065	0.066	0.018
2	0.000	0.000	0.266	0.000
3	0.000	0.000	0.000	0.000
4	0.000	0.000	0.042	0.000
5	0.000	0.000	0.401	0.000
6	0.006	0.028	0.031	0.000
7	0.205	0.702	0.012	0.248
8	0.000	0.800	0.000	0.000
9	0.000	0.000	0.000	0.000
10	0.000	0.248	0.000	0.000
11	0.029	0.009	0.151	0.005
12	0.185	0.170	0.125	0.057
13	0.152	0.203	0.127	0.166
14	0.169	0.132	0.152	0.072
15	0.300	0.204	0.095	0.083
16	0.019	0.015	0.127	0.002
17	0.113	0.055	0.229	0.053
18	0.120	0.100	0.114	0.158
19	0.006	0.003	0.026	0.005
20	0.087	0.057	0.055	0.034
21	0.055	0.114	0.104	0.071
22	0.023	0.088	0.088	0.005
23	0.214	0.133	0.120	0.184
24	0.152	0.108	0.120	0.155
25	0.200	0.022	0.125	0.063
26	0.016	0.068	0.100	0.012
27	0.014	0.046	0.033	0.048
28	0.052	0.061	0.111	0.033
29	0.128	0.165	0.110	0.019
30	0.012	0.030	0.018	0.001
31	0.034	0.069	0.093	0.013
32	0.046	0.026	0.048	0.018
33	0.036	0.035	0.112	0.053
34	0.131	0.130	0.066	0.143
35	0.180	0.133	0.066	0.238
36	0.116	0.188	0.163	0.037
37	0.073	0.082	0.134	0.021
38	0.184	0.112	0.037	0.109
39	0.059	0.027	0.051	0.014
40	0.041	0.104	0.071	0.036
41	0.025	0.056	0.042	0.052
42	0.068	0.076	0.077	0.006
43	0.100	0.174	0.088	0.137
44	0.004	0.020	0.011	0.004
45	0.018	0.031	0.039	0.010
46	0.078	0.134	0.022	0.113
47	0.095	0.084	0.066	0.166
48	0.091	0.101	0.146	0.012
49	0.084	0.070	0.105	0.094
50	0.015	0.039	0.024	0.026
51	0.019	0.008	0.009	0.004
52	0.032	0.063	0.062	0.019
53	0.030	0.040	0.055	0.074
54	0.066	0.060	0.050	0.024
