# NodeIndex	Triplet	K-Node1	Node2-K	Intercept
1	0.011	0.022	0.007	0.016
2	0.016	0.081	0.041	0.026
3	0.166	0.266	0.167	0.122
4	0.086	0.052	0.197	0.014
5	0.242	0.153	0.087	0.114
6	0.016	0.010	0.171	0.011
7	0.224	0.127	0.071	0.034
8	0.141	0.302	0.060	0.101
9	0.085	0.098	0.247	0.061
10	0.082	0.227	0.188	0.057
11	0.002	0.007	0.060	0.008
12	0.000	0.000	0.439	0.000
13	0.000	0.000	0.000	0.000
14	0.000	0.000	0.619	0.000
15	0.195	0.257	0.066	0.137
16	0.065	0.008	0.048	0.007
17	0.177	0.273	0.186	0.114
18	0.327	0.244	0.131	0.226
19	0.001	0.072	0.020	0.007
20	0.061	0.086	0.019	0.010
21	0.146	0.157	0.299	0.059
22	0.091	0.132	0.244	0.022
23	0.074	0.124	0.039	0.007
24	0.020	0.163	0.110	0.018
25	0.052	0.163	0.055	0.005
26	0.123	0.165	0.137	0.003
27	0.124	0.064	0.062	0.012
28	0.014	0.014	0.048	0.041
29	0.098	0.082	0.122	0.065
30	0.013	0.083	0.004	0.002
31	0.012	0.104	0.044	0.021
32	0.012	0.054	0.050	0.020
33	0.059	0.040	0.016	0.048
34	0.124	0.178	0.119	0.077
35	0.000	0.724	0.000	0.000
36	0.000	0.000	0.000	0.000
37	0.000	0.064	0.000	0.000
38	0.086	0.189	0.047	0.087
39	0.080	0.043	0.065	0.006
40	0.066	0.080	0.059	0.050
41	0.059	0.081	0.031	0.004
42	0.023	0.089	0.033	0.008
43	0.089	0.141	0.111	0.009
44	0.002	0.016	0.012	0.001
45	0.020	0.038	0.045	0.006
46	0.040	0.181	0.059	0.051
47	0.073	0.155	0.036	0.068
48	0.044	0.156	0.062	0.048
49	0.048	0.079	0.035	0.060
50	0.014	0.009	0.045	0.016
51	0.006	0.008	0.029	0.003
52	0.091	0.094	0.046	0.006
53	0.035	0.040	0.035	0.013
54	0.069	0.058	0.021	0.018
