# NodeIndex	Triplet	K-Node1	Node2-K	Intercept
1	0.033	0.250	0.029	0.010
2	0.000	0.000	0.137	0.000
3	0.000	0.000	0.000	0.000
4	0.000	0.000	0.520	0.000
5	0.000	0.000	0.236	0.000
6	0.004	0.070	0.193	0.003
7	0.350	0.504	0.041	0.201
8	0.340	0.439	0.086	0.211
9	0.325	0.246	0.175	0.086
10	0.048	0.274	0.132	0.047
11	0.001	0.016	0.075	0.003
12	0.132	0.064	0.271	0.058
13	0.178	0.128	0.367	0.156
14	0.105	0.095	0.407	0.126
15	0.111	0.161	0.178	0.179
16	0.009	0.028	0.031	0.000
17	0.102	0.087	0.086	0.038
18	0.204	0.091	0.146	0.056
19	0.000	0.013	0.016	0.002
20	0.011	0.124	0.132	0.047
21	0.156	0.057	0.050	0.069
22	0.010	0.047	0.039	0.006
23	0.127	0.351	0.084	0.010
24	0.204	0.130	0.055	0.034
25	0.040	0.021	0.066	0.000
26	0.062	0.133	0.113	0.008
27	0.049	0.170	0.064	0.045
28	0.031	0.013	0.045	0.017
29	0.132	0.223	0.108	0.076
30	0.009	0.009	0.143	0.002
31	0.112	0.021	0.032	0.046
32	0.024	0.074	0.114	0.007
33	0.000	0.087	0.000	0.000
34	0.000	0.245	0.000	0.000
35	0.000	0.000	0.000	0.000
36	0.000	0.355	0.000	0.000
37	0.000	0.101	0.000	0.000
38	0.310	0.038	0.060	0.085
39	0.010	0.067	0.034	0.003
40	0.058	0.028	0.077	0.053
41	0.031	0.073	0.032	0.025
42	0.024	0.108	0.024	0.004
43	0.105	0.224	0.074	0.017
44	0.007	0.015	0.038	0.002
45	0.004	0.036	0.063	0.016
46	0.110	0.067	0.066	0.042
47	0.087	0.073	0.040	0.055
48	0.088	0.115	0.109	0.026
49	0.115	0.051	0.100	0.017
50	0.021	0.037	0.043	0.002
51	0.008	0.006	0.006	0.001
52	0.014	0.036	0.094	0.074
53	0.082	0.060	0.063	0.016
54	0.070	0.110	0.067	0.020
