# NodeIndex	Triplet	K-Node1	Node2-K	Intercept
1	0.019	0.063	0.078	0.009
2	0.026	0.040	0.040	0.043
3	0.214	0.600	0.085	0.308
4	0.164	0.413	0.034	0.069
5	0.000	0.000	0.175	0.000
6	0.000	0.000	0.148	0.000
7	0.000	0.000	0.000	0.000
8	0.000	0.000	0.394	0.000
9	0.147	0.130	0.112	0.028
10	0.228	0.212	0.012	0.188
11	0.027	0.046	0.013	0.003
12	0.248	0.070	0.365	0.069
13	0.265	0.046	0.540	0.198
14	0.175	0.102	0.481	0.153
15	0.046	0.227	0.054	0.065
16	0.008	0.140	0.069	0.014
17	0.000	0.706	0.000	0.000
18	0.000	0.000	0.000	0.000
19	0.000	0.001	0.000	0.000
20	0.086	0.041	0.124	0.040
21	0.091	0.070	0.346	0.016
22	0.011	0.035	0.293	0.019
23	0.069	0.124	0.221	0.015
24	0.170	0.101	0.239	0.051
25	0.133	0.018	0.181	0.013
26	0.033	0.145	0.052	0.030
27	0.013	0.106	0.100	0.047
28	0.058	0.135	0.183	0.037
29	0.211	0.257	0.025	0.075
30	0.023	0.106	0.007	0.002
31	0.120	0.027	0.014	0.035
32	0.004	0.063	0.082	0.002
33	0.129	0.188	0.047	0.044
34	0.056	0.051	0.188	0.059
35	0.212	0.125	0.279	0.100
36	0.059	0.028	0.364	0.097
37	0.158	0.062	0.027	0.065
38	0.105	0.070	0.347	0.170
39	0.112	0.008	0.137	0.005
40	0.025	0.055	0.018	0.024
41	0.033	0.028	0.026	0.007
42	0.005	0.053	0.037	0.012
43	0.045	0.062	0.179	0.067
44	0.001	0.003	0.054	0.005
45	0.082	0.087	0.052	0.007
46	0.042	0.086	0.016	0.018
47	0.106	0.065	0.058	0.044
48	0.022	0.124	0.086	0.040
49	0.015	0.103	0.025	0.024
50	0.018	0.058	0.010	0.007
51	0.025	0.002	0.064	0.015
52	0.039	0.094	0.035	0.008
53	0.013	0.058	0.032	0.023
54	0.037	0.047	0.061	0.032
