# NodeIndex	Triplet	K-Node1	Node2-K	Intercept
1	0.028	0.043	0.010	0.003
2	0.001	0.036	0.002	0.000
3	0.013	0.228	0.027	0.083
4	0.011	0.200	0.072	0.052
5	0.027	0.041	0.153	0.089
6	0.274	0.092	0.025	0.044
7	0.098	0.333	0.179	0.080
8	0.000	0.000	0.286	0.000
9	0.000	0.000	0.000	0.000
10	0.000	0.000	0.235	0.000
11	0.066	0.091	0.027	0.007
12	0.201	0.025	0.319	0.298
13	0.110	0.069	0.567	0.323
14	0.276	0.044	0.514	0.109
15	0.065	0.227	0.185	0.082
16	0.089	0.215	0.157	0.005
17	0.000	0.696	0.000	0.000
18	0.000	0.000	0.000	0.000
19	0.000	0.004	0.000	0.000
20	0.242	0.020	0.169	0.036
21	0.120	0.102	0.125	0.152
22	0.015	0.098	0.073	0.037
23	0.046	0.079	0.077	0.005
24	0.145	0.280	0.127	0.014
25	0.094	0.045	0.052	0.005
26	0.060	0.070	0.103	0.007
27	0.056	0.079	0.032	0.038
28	0.029	0.074	0.047	0.032
29	0.109	0.054	0.077	0.035
30	0.004	0.050	0.004	0.002
31	0.054	0.136	0.015	0.014
32	0.040	0.010	0.045	0.021
33	0.026	0.072	0.016	0.000
34	0.100	0.198	0.076	0.043
35	0.208	0.095	0.093	0.124
36	0.149	0.120	0.237	0.065
37	0.042	0.042	0.159	0.032
38	0.098	0.274	0.182	0.098
39	0.003	0.056	0.000	0.000
40	0.000	0.019	0.000	0.017
41	0.005	0.067	0.002	0.000
42	0.000	0.000	0.000	0.000
43	0.000	0.000	0.000	0.000
44	0.000	0.001	0.001	0.000
45	0.013	0.000	0.004	0.005
46	0.000	0.001	0.000	0.000
47	0.001	0.000	0.000	0.000
48	0.001	0.001	0.000	0.000
49	0.044	0.001	0.000	0.000
50	0.000	0.053	0.000	0.000
51	0.011	0.002	0.000	0.000
52	0.000	0.000	0.000	0.000
53	0.000	0.013	0.013	0.000
54	0.000	0.009	0.004	0.000
