# NodeIndex	Triplet	K-Node1	Node2-K	Intercept
1	0.036	0.075	0.120	0.002
2	0.100	0.034	0.169	0.017
3	0.216	0.080	0.109	0.032
4	0.120	0.116	0.069	0.016
5	0.112	0.106	0.091	0.049
6	0.011	0.009	0.065	0.048
7	0.053	0.244	0.104	0.054
8	0.183	0.158	0.106	0.011
9	0.108	0.041	0.116	0.095
10	0.085	0.297	0.055	0.037
11	0.079	0.091	0.138	0.024
12	0.119	0.174	0.123	0.019
13	0.067	0.045	0.333	0.186
14	0.036	0.024	0.228	0.067
15	0.056	0.123	0.220	0.021
16	0.016	0.025	0.165	0.099
17	0.126	0.172	0.085	0.090
18	0.197	0.160	0.254	0.187
19	0.000	0.000	0.025	0.000
20	0.000	0.000	0.218	0.000
21	0.000	0.000	0.000	0.000
22	0.000	0.000	0.488	0.000
23	0.000	0.000	0.020	0.000
24	0.000	0.000	0.082	0.000
25	0.055	0.245	0.065	0.030
26	0.035	0.182	0.028	0.036
27	0.112	0.048	0.092	0.021
28	0.082	0.040	0.035	0.037
29	0.173	0.278	0.023	0.104
30	0.061	0.018	0.009	0.003
31	0.091	0.055	0.099	0.073
32	0.055	0.142	0.092	0.068
33	0.000	0.000	0.000	0.000
34	0.000	0.000	0.000	0.000
35	0.000	0.508	0.000	0.000
36	0.157	0.040	0.226	0.145
37	0.027	0.025	0.049	0.003
38	0.109	0.069	0.097	0.013
39	0.013	0.049	0.042	0.078
40	0.030	0.047	0.016	0.037
41	0.009	0.144	0.036	0.035
42	0.047	0.057	0.080	0.020
43	0.059	0.181	0.072	0.089
44	0.000	0.039	0.063	0.001
45	0.080	0.046	0.099	0.001
46	0.062	0.008	0.023	0.013
47	0.022	0.199	0.107	0.030
48	0.132	0.127	0.043	0.035
49	0.146	0.058	0.064	0.033
50	0.126	0.077	0.007	0.001
51	0.004	0.060	0.022	0.013
52	0.113	0.059	0.016	0.005
53	0.063	0.013	0.047	0.001
54	0.062	0.020	0.058	0.002
