# NodeIndex	Triplet	K-Node1	Node2-K	Intercept
1	0.058	0.069	0.048	0.001
2	0.123	0.117	0.005	0.007
3	0.235	0.533	0.032	0.137
4	0.084	0.304	0.069	0.071
5	0.000	0.000	0.239	0.000
6	0.000	0.000	0.401	0.000
7	0.000	0.000	0.000	0.000
8	0.000	0.000	0.578	0.000
9	0.186	0.169	0.222	0.049
10	0.035	0.049	0.041	0.011
11	0.105	0.077	0.071	0.011
12	0.087	0.245	0.362	0.232
13	0.319	0.078	0.303	0.182
14	0.111	0.187	0.289	0.084
15	0.042	0.140	0.104	0.038
16	0.002	0.102	0.013	0.015
17	0.105	0.113	0.170	0.068
18	0.204	0.120	0.206	0.097
19	0.003	0.023	0.010	0.007
20	0.129	0.061	0.113	0.009
21	0.112	0.100	0.087	0.039
22	0.007	0.080	0.039	0.030
23	0.105	0.321	0.080	0.154
24	0.096	0.174	0.250	0.095
25	0.048	0.107	0.098	0.003
26	0.041	0.192	0.112	0.025
27	0.043	0.114	0.010	0.067
28	0.049	0.035	0.076	0.002
29	0.071	0.217	0.202	0.120
30	0.028	0.003	0.000	0.005
31	0.012	0.067	0.164	0.004
32	0.042	0.017	0.063	0.006
33	0.000	0.209	0.000	0.000
34	0.000	0.307	0.000	0.000
35	0.000	0.000	0.000	0.000
36	0.000	0.624	0.000	0.000
37	0.000	0.062	0.000	0.000
38	0.141	0.143	0.070	0.220
39	0.001	0.003	0.001	0.001
40	0.000	0.002	0.000	0.000
41	0.000	0.001	0.005	0.000
42	0.000	0.002	0.000	0.000
43	0.000	0.000	0.000	0.000
44	0.003	0.001	0.001	0.003
45	0.000	0.000	0.003	0.000
46	0.000	0.000	0.001	0.000
47	0.001	0.000	0.000	0.000
48	0.001	0.000	0.000	0.000
49	0.000	0.002	0.000	0.000
50	0.000	0.000	0.000	0.000
51	0.000	0.001	0.001	0.000
52	0.004	0.000	0.000	0.000
53	0.000	0.007	0.000	0.000
54	0.000	0.005	0.000	0.000
