# NodeIndex	Triplet	K-Node1	Node2-K	Intercept
1	0.001	0.052	0.009	0.020
2	0.000	0.038	0.047	0.046
3	0.014	0.015	0.225	0.079
4	0.024	0.045	0.119	0.016
5	0.052	0.028	0.030	0.027
6	0.172	0.010	0.120	0.010
7	0.022	0.052	0.309	0.082
8	0.179	0.031	0.237	0.095
9	0.000	0.000	0.390	0.000
10	0.000	0.000	0.000	0.000
11	0.000	0.000	0.005	0.000
12	0.000	0.349	0.000	0.000
13	0.000	0.000	0.000	0.000
14	0.000	0.493	0.000	0.000
15	0.491	0.060	0.208	0.172
16	0.029	0.085	0.009	0.000
17	0.195	0.060	0.318	0.151
18	0.138	0.016	0.475	0.163
19	0.001	0.046	0.013	0.002
20	0.181	0.104	0.053	0.083
21	0.141	0.420	0.131	0.229
22	0.127	0.414	0.088	0.150
23	0.102	0.086	0.048	0.004
24	0.035	0.092	0.199	0.073
25	0.181	0.109	0.132	0.015
26	0.047	0.125	0.230	0.022
27	0.064	0.033	0.086	0.065
28	0.020	0.013	0.074	0.071
29	0.044	0.045	0.253	0.071
30	0.029	0.228	0.002	0.007
31	0.007	0.022	0.083	0.008
32	0.008	0.040	0.039	0.007
33	0.021	0.004	0.046	0.002
34	0.118	0.058	0.355	0.126
35	0.217	0.017	0.560	0.096
36	0.043	0.020	0.329	0.100
37	0.034	0.117	0.042	0.043
38	0.302	0.031	0.133	0.216
39	0.000	0.004	0.000	0.001
40	0.000	0.045	0.000	0.000
41	0.000	0.016	0.000	0.000
42	0.000	0.000	0.001	0.000
43	0.000	0.001	0.001	0.000
44	0.006	0.001	0.000	0.000
45	0.001	0.001	0.000	0.000
46	0.000	0.000	0.001	0.016
47	0.000	0.006	0.000	0.000
48	0.001	0.000	0.004	0.000
49	0.000	0.001	0.000	0.001
50	0.000	0.001	0.000	0.000
51	0.006	0.000	0.001	0.000
52	0.000	0.003	0.000	0.000
53	0.000	0.002	0.000	0.000
54	0.000	0.005	0.002	0.000
