# NodeIndex	Triplet	K-Node1	Node2-K	Intercept
1	0.022	0.219	0.033	0.005
2	0.001	0.268	0.117	0.001
3	0.221	0.416	0.118	0.184
4	0.020	0.030	0.205	0.002
5	0.065	0.105	0.268	0.111
6	0.014	0.071	0.009	0.000
7	0.084	0.129	0.044	0.041
8	0.000	0.000	0.133	0.000
9	0.000	0.000	0.000	0.000
10	0.000	0.000	0.043	0.000
11	0.111	0.045	0.173	0.048
12	0.017	0.119	0.283	0.028
13	0.138	0.147	0.315	0.130
14	0.122	0.118	0.268	0.105
15	0.142	0.035	0.045	0.023
16	0.194	0.013	0.020	0.061
17	0.281	0.107	0.181	0.158
18	0.146	0.054	0.183	0.204
19	0.000	0.010	0.000	0.000
20	0.000	0.509	0.000	0.000
21	0.000	0.000	0.000	0.000
22	0.000	0.563	0.000	0.000
23	0.000	0.012	0.000	0.000
24	0.005	0.038	0.000	0.001
25	0.419	0.103	0.084	0.034
26	0.106	0.052	0.033	0.004
27	0.027	0.126	0.008	0.011
28	0.054	0.084	0.144	0.003
29	0.104	0.049	0.093	0.043
30	0.052	0.001	0.033	0.003
31	0.010	0.044	0.016	0.005
32	0.060	0.028	0.086	0.011
33	0.048	0.038	0.110	0.018
34	0.085	0.201	0.032	0.037
35	0.155	0.226	0.105	0.028
36	0.182	0.103	0.163	0.160
37	0.101	0.023	0.018	0.006
38	0.034	0.024	0.062	0.042
39	0.022	0.068	0.060	0.004
40	0.072	0.115	0.035	0.017
41	0.010	0.116	0.135	0.017
42	0.029	0.236	0.083	0.028
43	0.034	0.244	0.030	0.084
44	0.002	0.002	0.005	0.000
45	0.075	0.019	0.015	0.055
46	0.025	0.013	0.020	0.006
47	0.031	0.041	0.081	0.037
48	0.223	0.055	0.025	0.042
49	0.068	0.113	0.029	0.012
50	0.005	0.026	0.009	0.008
51	0.005	0.039	0.077	0.001
52	0.004	0.021	0.085	0.014
53	0.101	0.016	0.011	0.002
54	0.017	0.053	0.045	0.007
