# NodeIndex	Triplet	K-Node1	Node2-K	Intercept
1	0.000	0.828	0.000	0.373
2	0.007	0.828	0.061	0.000
3	0.000	0.022	0.061	0.005
4	0.003	0.022	0.000	0.001
5	0.000	0.000	0.000	0.024
6	0.000	0.062	0.004	0.001
7	0.061	0.000	0.000	0.001
8	0.000	0.000	0.004	0.000
9	0.000	0.000	0.000	0.000
10	0.000	0.000	0.072	0.000
11	0.000	0.089	0.830	0.001
12	0.826	0.082	0.004	0.054
13	0.000	0.011	0.004	0.008
14	0.000	0.022	0.001	0.000
15	0.000	0.000	0.000	0.004
16	0.841	0.002	0.061	0.009
17	0.000	0.011	0.026	0.002
18	0.000	0.001	0.000	0.002
19	0.000	0.000	0.000	0.001
20	0.000	0.000	0.001	0.000
21	0.000	0.001	0.001	0.003
22	0.000	0.000	0.019	0.000
23	0.000	0.001	0.000	0.012
24	0.000	0.000	0.000	0.000
25	0.000	0.015	0.000	0.002
26	0.000	0.001	0.000	0.000
27	0.000	0.004	0.825	0.029
28	0.000	0.016	0.010	0.016
29	0.000	0.000	0.000	0.062
30	0.000	0.061	0.010	0.000
31	0.000	0.000	0.011	0.271
32	0.000	0.010	0.011	0.016
33	0.001	0.061	0.000	0.023
34	0.000	0.000	0.015	0.013
35	0.000	0.010	0.000	0.005
36	0.025	0.000	0.000	0.023
37	0.001	0.000	0.000	0.000
38	0.001	0.000	0.000	0.007
39	0.003	0.001	0.000	0.003
40	0.004	0.000	0.000	0.000
41	0.000	0.000	0.000	0.009
42	0.003	0.000	0.061	0.013
43	0.000	0.062	0.000	0.000
44	0.000	0.000	0.000	0.000
45	0.000	0.000	0.000	0.000
46	0.000	0.000	0.123	0.000
47	0.046	0.829	0.072	0.000
48	0.010	0.001	0.061	0.060
49	0.017	0.061	0.000	0.060
50	0.000	0.000	0.067	0.041
51	0.000	0.000	0.000	0.000
52	0.000	0.000	0.000	0.000
53	0.000	0.000	0.000	0.000
54	0.000	0.000	0.000	0.000
