# NodeIndex	Triplet	K-Node1	Node2-K	Intercept
1	0.088	0.010	0.000	0.013
2	0.005	0.022	0.023	0.004
3	0.094	0.056	0.045	0.005
4	0.028	0.117	0.032	0.021
5	0.016	0.165	0.178	0.018
6	0.047	0.105	0.209	0.011
7	0.262	0.125	0.129	0.101
8	0.028	0.164	0.164	0.092
9	0.218	0.253	0.091	0.031
10	0.054	0.017	0.097	0.030
11	0.124	0.021	0.024	0.006
12	0.155	0.012	0.184	0.226
13	0.378	0.310	0.142	0.215
14	0.156	0.160	0.348	0.220
15	0.073	0.073	0.170	0.057
16	0.022	0.021	0.019	0.028
17	0.088	0.313	0.181	0.061
18	0.097	0.167	0.155	0.126
19	0.000	0.000	0.003	0.000
20	0.000	0.000	0.610	0.000
21	0.000	0.000	0.000	0.000
22	0.000	0.000	0.369	0.000
23	0.000	0.000	0.058	0.000
24	0.000	0.003	0.225	0.011
25	0.027	0.395	0.018	0.041
26	0.062	0.024	0.298	0.029
27	0.109	0.084	0.019	0.011
28	0.041	0.040	0.075	0.003
29	0.041	0.094	0.564	0.035
30	0.003	0.013	0.024	0.000
31	0.028	0.101	0.036	0.016
32	0.026	0.036	0.014	0.013
33	0.032	0.022	0.146	0.012
34	0.087	0.241	0.227	0.063
35	0.000	0.789	0.000	0.000
36	0.000	0.000	0.000	0.000
37	0.000	0.000	0.000	0.000
38	0.022	0.047	0.117	0.091
39	0.005	0.169	0.029	0.000
40	0.001	0.008	0.005	0.002
41	0.000	0.001	0.000	0.003
42	0.000	0.000	0.000	0.000
43	0.000	0.000	0.000	0.000
44	0.000	0.000	0.002	0.000
45	0.000	0.000	0.000	0.000
46	0.000	0.000	0.000	0.000
47	0.000	0.000	0.000	0.000
48	0.000	0.000	0.012	0.000
49	0.000	0.019	0.000	0.000
50	0.000	0.000	0.000	0.000
51	0.000	0.000	0.000	0.000
52	0.000	0.000	0.041	0.000
53	0.002	0.000	0.000	0.000
54	0.002	0.026	0.003	0.000
