# NodeIndex	Triplet	K-Node1	Node2-K	Intercept
1	0.006	0.043	0.044	0.012
2	0.003	0.155	0.085	0.012
3	0.150	0.039	0.065	0.056
4	0.168	0.012	0.033	0.009
5	0.034	0.155	0.113	0.036
6	0.000	0.006	0.269	0.019
7	0.026	0.200	0.158	0.027
8	0.025	0.313	0.064	0.081
9	0.067	0.186	0.025	0.076
10	0.075	0.217	0.082	0.090
11	0.077	0.056	0.033	0.013
12	0.086	0.045	0.029	0.165
13	0.250	0.263	0.166	0.180
14	0.035	0.110	0.253	0.066
15	0.015	0.004	0.174	0.012
16	0.000	0.000	0.255	0.000
17	0.000	0.000	0.000	0.000
18	0.000	0.000	0.793	0.000
19	0.000	0.000	0.004	0.000
20	0.086	0.200	0.087	0.022
21	0.126	0.242	0.085	0.040
22	0.026	0.277	0.068	0.037
23	0.035	0.016	0.007	0.020
24	0.083	0.024	0.212	0.034
25	0.016	0.153	0.206	0.018
26	0.007	0.169	0.017	0.067
27	0.060	0.178	0.095	0.023
28	0.021	0.106	0.016	0.005
29	0.003	0.353	0.068	0.077
30	0.008	0.006	0.003	0.075
31	0.008	0.260	0.128	0.045
32	0.286	0.119	0.075	0.060
33	0.000	0.000	0.000	0.000
34	0.000	0.000	0.000	0.000
35	0.000	0.344	0.000	0.000
36	0.137	0.020	0.242	0.111
37	0.028	0.013	0.111	0.035
38	0.049	0.019	0.153	0.041
39	0.130	0.003	0.082	0.028
40	0.008	0.079	0.003	0.045
41	0.000	0.003	0.007	0.005
42	0.012	0.045	0.202	0.003
43	0.009	0.208	0.010	0.063
44	0.003	0.162	0.001	0.000
45	0.011	0.140	0.002	0.007
46	0.003	0.143	0.003	0.026
47	0.004	0.088	0.045	0.018
48	0.356	0.087	0.019	0.028
49	0.036	0.005	0.183	0.026
50	0.012	0.028	0.067	0.007
51	0.088	0.009	0.073	0.001
52	0.024	0.038	0.021	0.027
53	0.037	0.024	0.078	0.010
54	0.019	0.094	0.091	0.010
