# NodeIndex	Triplet	K-Node1	Node2-K	Intercept
1	0.018	0.000	0.040	0.056
2	0.000	0.014	0.046	0.002
3	0.043	0.044	0.130	0.049
4	0.035	0.010	0.071	0.036
5	0.151	0.010	0.010	0.001
6	0.015	0.005	0.187	0.003
7	0.023	0.104	0.083	0.061
8	0.090	0.094	0.155	0.033
9	0.000	0.000	0.179	0.000
10	0.000	0.000	0.000	0.000
11	0.000	0.000	0.015	0.000
12	0.232	0.124	0.231	0.224
13	0.312	0.150	0.332	0.322
14	0.232	0.179	0.259	0.108
15	0.311	0.080	0.199	0.047
16	0.012	0.073	0.052	0.007
17	0.136	0.133	0.036	0.042
18	0.103	0.099	0.184	0.034
19	0.058	0.086	0.015	0.026
20	0.082	0.021	0.026	0.091
21	0.059	0.309	0.160	0.037
22	0.146	0.213	0.085	0.088
23	0.038	0.170	0.099	0.003
24	0.085	0.086	0.115	0.009
25	0.008	0.372	0.096	0.011
26	0.034	0.091	0.080	0.022
27	0.099	0.031	0.050	0.007
28	0.107	0.042	0.052	0.014
29	0.033	0.093	0.035	0.029
30	0.002	0.178	0.004	0.029
31	0.003	0.010	0.152	0.002
32	0.005	0.011	0.034	0.011
33	0.000	0.000	0.000	0.000
34	0.000	0.000	0.000	0.000
35	0.000	0.175	0.000	0.000
36	0.050	0.086	0.256	0.042
37	0.057	0.099	0.159	0.007
38	0.128	0.062	0.131	0.212
39	0.002	0.043	0.014	0.001
40	0.000	0.024	0.006	0.005
41	0.003	0.006	0.006	0.000
42	0.000	0.000	0.002	0.000
43	0.000	0.002	0.002	0.000
44	0.000	0.001	0.015	0.000
45	0.004	0.001	0.001	0.000
46	0.000	0.000	0.000	0.014
47	0.000	0.000	0.001	0.000
48	0.000	0.001	0.002	0.001
49	0.000	0.000	0.001	0.000
50	0.000	0.000	0.000	0.000
51	0.000	0.000	0.001	0.000
52	0.001	0.007	0.003	0.000
53	0.000	0.000	0.000	0.001
54	0.000	0.000	0.001	0.000
