# NodeIndex	Triplet	K-Node1	Node2-K	Intercept
1	0.040	0.018	0.003	0.002
2	0.001	0.016	0.014	0.005
3	0.081	0.056	0.018	0.056
4	0.020	0.045	0.034	0.049
5	0.051	0.124	0.022	0.039
6	0.071	0.112	0.029	0.019
7	0.145	0.084	0.206	0.151
8	0.000	0.000	0.215	0.000
9	0.000	0.000	0.000	0.000
10	0.000	0.000	0.120	0.000
11	0.288	0.119	0.058	0.065
12	0.162	0.095	0.405	0.102
13	0.162	0.284	0.152	0.137
14	0.217	0.070	0.226	0.054
15	0.225	0.243	0.094	0.063
16	0.025	0.066	0.031	0.005
17	0.081	0.182	0.090	0.179
18	0.186	0.150	0.082	0.214
19	0.019	0.036	0.018	0.001
20	0.027	0.057	0.095	0.193
21	0.088	0.045	0.039	0.073
22	0.031	0.031	0.043	0.026
23	0.080	0.058	0.197	0.042
24	0.086	0.089	0.277	0.166
25	0.004	0.056	0.015	0.014
26	0.045	0.197	0.127	0.025
27	0.101	0.024	0.327	0.091
28	0.063	0.019	0.085	0.021
29	0.090	0.127	0.157	0.111
30	0.000	0.034	0.001	0.012
31	0.151	0.025	0.038	0.002
32	0.014	0.072	0.187	0.050
33	0.053	0.106	0.016	0.008
34	0.319	0.291	0.055	0.081
35	0.000	0.791	0.000	0.000
36	0.000	0.000	0.000	0.000
37	0.000	0.008	0.000	0.000
38	0.026	0.395	0.210	0.010
39	0.002	0.000	0.002	0.001
40	0.000	0.001	0.004	0.000
41	0.000	0.002	0.000	0.003
42	0.000	0.000	0.000	0.000
43	0.000	0.000	0.000	0.000
44	0.001	0.000	0.001	0.000
45	0.000	0.000	0.000	0.000
46	0.000	0.000	0.000	0.000
47	0.000	0.000	0.001	0.000
48	0.000	0.001	0.000	0.000
49	0.000	0.001	0.000	0.000
50	0.000	0.000	0.000	0.000
51	0.000	0.001	0.000	0.000
52	0.000	0.000	0.002	0.000
53	0.000	0.009	0.001	0.000
54	0.001	0.007	0.001	0.000
