# NodeIndex	Triplet	K-Node1	Node2-K	Intercept
1	0.000	0.000	0.000	0.000
2	0.000	0.000	0.021	0.000
3	0.000	0.000	0.000	0.116
4	0.000	0.008	0.000	0.472
5	0.582	0.014	0.000	0.046
6	0.000	0.008	0.000	0.000
7	0.000	0.000	0.000	0.094
8	0.000	0.000	0.000	0.000
9	0.000	0.023	0.000	0.000
10	0.000	0.040	0.000	0.021
11	0.000	0.282	0.000	0.020
12	0.014	0.317	0.000	0.043
13	0.000	0.008	0.020	0.022
14	0.000	0.029	0.000	0.000
15	0.000	0.004	0.000	0.054
16	0.000	0.008	0.582	0.002
17	0.000	0.582	0.000	0.000
18	0.000	0.310	0.000	0.003
19	0.000	0.000	0.008	0.000
20	0.000	0.009	0.000	0.038
21	0.000	0.582	0.000	0.003
22	0.000	0.603	0.000	0.003
23	0.008	0.001	0.020	0.006
24	0.000	0.040	0.020	0.000
25	0.004	0.000	0.000	0.140
26	0.000	0.009	0.309	0.000
27	0.020	0.001	0.000	0.000
28	0.000	0.000	0.040	0.000
29	0.000	0.043	0.000	0.000
30	0.000	0.000	0.000	0.000
31	0.000	0.000	0.020	0.000
32	0.000	0.020	0.000	0.000
33	0.000	0.000	0.000	0.000
34	0.000	0.000	0.000	0.000
35	0.000	0.000	0.583	0.000
36	0.000	0.040	0.000	0.000
37	0.000	0.865	0.000	0.000
38	0.892	0.035	0.000	0.016
39	0.000	0.004	0.055	0.000
40	0.004	0.000	0.020	0.000
41	0.000	0.000	0.310	0.020
42	0.000	0.074	0.000	0.000
43	0.000	0.000	0.000	0.000
44	0.000	0.000	0.000	0.000
45	0.000	0.000	0.000	0.018
46	0.309	0.003	0.059	0.016
47	0.309	0.003	0.266	0.018
48	0.014	0.000	0.314	0.019
49	0.000	0.302	0.000	0.043
50	0.000	0.309	0.004	0.000
51	0.000	0.000	0.000	0.000
52	0.014	0.238	0.022	0.011
53	0.054	0.008	0.003	0.015
54	0.000	0.027	0.214	0.073
