# NodeIndex	Triplet	K-Node1	Node2-K	Intercept
1	0.000	0.035	0.040	0.002
2	0.007	0.086	0.033	0.000
3	0.054	0.156	0.106	0.033
4	0.060	0.022	0.068	0.057
5	0.055	0.127	0.059	0.008
6	0.109	0.028	0.079	0.021
7	0.118	0.079	0.181	0.115
8	0.236	0.083	0.114	0.067
9	0.143	0.111	0.059	0.170
10	0.068	0.069	0.120	0.039
11	0.138	0.087	0.085	0.004
12	0.289	0.283	0.136	0.158
13	0.369	0.291	0.193	0.386
14	0.306	0.248	0.072	0.286
15	0.072	0.181	0.112	0.111
16	0.089	0.046	0.087	0.002
17	0.000	0.000	0.645	0.000
18	0.000	0.000	0.000	0.000
19	0.000	0.000	0.035	0.000
20	0.065	0.243	0.072	0.086
21	0.222	0.212	0.129	0.046
22	0.171	0.060	0.231	0.035
23	0.005	0.024	0.043	0.000
24	0.035	0.121	0.058	0.012
25	0.050	0.173	0.140	0.057
26	0.012	0.095	0.066	0.030
27	0.050	0.042	0.017	0.038
28	0.100	0.049	0.090	0.020
29	0.012	0.234	0.020	0.016
30	0.005	0.005	0.016	0.002
31	0.023	0.042	0.010	0.055
32	0.037	0.051	0.009	0.072
33	0.000	0.000	0.000	0.000
34	0.000	0.000	0.000	0.000
35	0.000	0.321	0.000	0.000
36	0.120	0.078	0.170	0.088
37	0.082	0.081	0.172	0.016
38	0.210	0.118	0.086	0.068
39	0.063	0.006	0.030	0.000
40	0.000	0.003	0.021	0.000
41	0.000	0.004	0.001	0.000
42	0.000	0.000	0.001	0.000
43	0.000	0.000	0.010	0.000
44	0.000	0.000	0.000	0.000
45	0.001	0.018	0.001	0.000
46	0.000	0.000	0.028	0.000
47	0.000	0.001	0.010	0.000
48	0.000	0.000	0.000	0.000
49	0.000	0.000	0.010	0.000
50	0.000	0.000	0.011	0.000
51	0.016	0.001	0.003	0.000
52	0.000	0.000	0.009	0.000
53	0.001	0.008	0.003	0.000
54	0.001	0.004	0.005	0.000
