# NodeIndex	Triplet	K-Node1	Node2-K	Intercept
1	0.026	0.140	0.005	0.013
2	0.004	0.170	0.025	0.004
3	0.425	0.458	0.016	0.167
4	0.194	0.219	0.206	0.117
5	0.000	0.000	0.141	0.000
6	0.000	0.000	0.389	0.000
7	0.000	0.000	0.000	0.000
8	0.000	0.000	0.469	0.000
9	0.231	0.272	0.072	0.035
10	0.103	0.124	0.107	0.110
11	0.008	0.010	0.113	0.007
12	0.023	0.250	0.086	0.018
13	0.020	0.159	0.203	0.061
14	0.128	0.230	0.055	0.037
15	0.072	0.265	0.132	0.049
16	0.032	0.014	0.158	0.001
17	0.136	0.076	0.062	0.019
18	0.063	0.149	0.037	0.020
19	0.001	0.001	0.002	0.001
20	0.057	0.063	0.025	0.007
21	0.073	0.015	0.145	0.035
22	0.002	0.024	0.048	0.003
23	0.124	0.068	0.232	0.025
24	0.117	0.076	0.042	0.033
25	0.123	0.011	0.035	0.001
26	0.218	0.029	0.010	0.008
27	0.126	0.125	0.015	0.005
28	0.019	0.119	0.057	0.006
29	0.046	0.048	0.032	0.148
30	0.023	0.023	0.030	0.001
31	0.000	0.015	0.053	0.100
32	0.065	0.132	0.014	0.010
33	0.009	0.172	0.234	0.008
34	0.025	0.130	0.136	0.056
35	0.049	0.141	0.139	0.093
36	0.043	0.046	0.028	0.039
37	0.009	0.062	0.004	0.002
38	0.147	0.039	0.056	0.042
39	0.011	0.018	0.077	0.007
40	0.026	0.014	0.029	0.004
41	0.032	0.120	0.048	0.027
42	0.180	0.133	0.020	0.007
43	0.163	0.190	0.056	0.127
44	0.009	0.005	0.009	0.004
45	0.137	0.114	0.008	0.042
46	0.132	0.049	0.011	0.133
47	0.233	0.134	0.061	0.069
48	0.111	0.018	0.029	0.032
49	0.127	0.033	0.240	0.049
50	0.165	0.068	0.121	0.027
51	0.000	0.000	0.000	0.000
52	0.000	0.000	0.000	0.000
53	0.000	0.003	0.000	0.000
54	0.000	0.012	0.000	0.000
