# NodeIndex	Triplet	K-Node1	Node2-K	Intercept
1	0.006	0.041	0.053	0.016
2	0.007	0.026	0.079	0.042
3	0.040	0.097	0.056	0.101
4	0.020	0.054	0.036	0.135
5	0.134	0.115	0.162	0.058
6	0.001	0.008	0.008	0.001
7	0.040	0.154	0.023	0.028
8	0.050	0.231	0.023	0.108
9	0.059	0.206	0.077	0.020
10	0.040	0.247	0.042	0.038
11	0.097	0.122	0.091	0.009
12	0.171	0.278	0.066	0.100
13	0.170	0.366	0.097	0.227
14	0.138	0.402	0.057	0.083
15	0.032	0.093	0.139	0.018
16	0.076	0.143	0.078	0.028
17	0.000	0.000	0.497	0.000
18	0.000	0.000	0.000	0.000
19	0.000	0.000	0.000	0.000
20	0.000	0.283	0.000	0.000
21	0.000	0.000	0.000	0.000
22	0.000	0.334	0.000	0.000
23	0.000	0.084	0.000	0.000
24	0.001	0.183	0.001	0.000
25	0.062	0.096	0.113	0.051
26	0.031	0.087	0.080	0.035
27	0.061	0.176	0.027	0.014
28	0.014	0.106	0.144	0.019
29	0.114	0.092	0.106	0.067
30	0.022	0.018	0.024	0.002
31	0.030	0.077	0.031	0.062
32	0.057	0.035	0.027	0.002
33	0.036	0.178	0.040	0.042
34	0.063	0.160	0.052	0.074
35	0.095	0.195	0.047	0.240
36	0.212	0.224	0.067	0.130
37	0.107	0.128	0.086	0.015
38	0.098	0.156	0.060	0.089
39	0.062	0.056	0.048	0.034
40	0.026	0.047	0.120	0.012
41	0.032	0.089	0.027	0.056
42	0.025	0.015	0.054	0.043
43	0.052	0.078	0.067	0.083
44	0.001	0.016	0.015	0.011
45	0.011	0.044	0.104	0.059
46	0.013	0.049	0.031	0.006
47	0.041	0.124	0.078	0.074
48	0.073	0.080	0.073	0.095
49	0.044	0.071	0.071	0.033
50	0.012	0.030	0.073	0.020
51	0.014	0.039	0.013	0.001
52	0.039	0.026	0.137	0.029
53	0.010	0.037	0.024	0.004
54	0.015	0.042	0.016	0.031
