# NodeIndex	Triplet	K-Node1	Node2-K	Intercept
1	0.000	0.000	0.000	0.000
2	0.000	0.000	0.000	0.001
3	0.001	0.000	0.000	0.000
4	0.000	0.001	0.000	0.152
5	0.000	0.000	0.406	0.062
6	0.000	0.001	0.000	0.000
7	0.000	0.000	0.000	0.000
8	0.000	0.406	0.000	0.001
9	0.000	0.000	0.000	0.000
10	0.000	0.000	0.000	0.000
11	0.000	0.000	0.000	0.000
12	0.000	0.000	0.000	0.000
13	0.000	0.593	0.000	0.000
14	0.000	0.592	0.000	0.000
15	0.000	0.592	0.000	0.093
16	0.406	0.000	0.000	0.000
17	0.000	0.406	0.000	0.000
18	0.000	0.406	0.000	0.005
19	0.000	0.000	0.000	0.000
20	0.000	0.000	0.000	0.073
21	0.000	0.000	0.000	0.000
22	0.000	0.000	0.000	0.018
23	0.001	0.000	0.000	0.005
24	0.001	0.998	0.000	0.000
25	0.000	0.000	0.000	0.007
26	0.000	0.592	0.000	0.311
27	0.000	0.000	0.000	0.019
28	0.001	0.592	0.000	0.003
29	0.000	1.000	0.000	0.000
30	0.000	0.000	0.001	0.073
31	0.592	0.001	0.000	0.001
32	0.592	0.001	0.000	0.000
33	0.000	0.000	0.000	0.000
34	0.000	0.000	0.406	0.000
35	0.000	0.000	0.000	0.000
36	0.000	0.000	0.592	0.000
37	0.000	0.000	0.000	0.000
38	0.406	0.000	0.002	0.109
39	0.000	0.000	0.000	0.000
40	0.000	0.000	0.000	0.000
41	0.000	0.001	0.001	0.000
42	0.000	0.001	0.000	0.000
43	0.000	0.000	0.000	0.000
44	0.000	0.000	0.000	0.000
45	0.000	0.000	0.000	0.026
46	0.001	0.592	0.000	0.042
47	0.592	0.000	0.158	0.000
48	0.000	0.000	0.000	0.004
49	0.000	0.000	0.000	0.000
50	0.000	0.000	0.000	0.000
51	0.000	0.101	0.000	0.001
52	0.000	0.000	0.000	0.144
53	0.000	0.122	0.000	0.003
54	0.100	0.054	0.000	0.028
