# NodeIndex	Triplet	K-Node1	Node2-K	Intercept
1	0.069	0.003	0.000	0.504
2	0.000	0.003	0.069	0.006
3	0.003	0.210	0.000	0.002
4	0.000	0.159	0.589	0.000
5	0.072	0.001	0.000	0.007
6	0.000	0.000	0.000	0.001
7	0.244	0.143	0.003	0.030
8	0.087	0.145	0.000	0.503
9	0.008	0.069	0.000	0.000
10	0.079	0.003	0.003	0.039
11	0.000	0.000	0.000	0.016
12	0.139	0.149	0.000	0.006
13	0.214	0.109	0.013	0.006
14	0.000	0.813	0.000	0.000
15	0.589	0.001	0.000	0.000
16	0.023	0.077	0.019	0.010
17	0.043	0.213	0.000	0.003
18	0.019	0.234	0.000	0.001
19	0.000	0.000	0.000	0.039
20	0.000	0.596	0.075	0.023
21	0.000	0.692	0.000	0.000
22	0.005	0.073	0.000	0.025
23	0.075	0.004	0.000	0.000
24	0.142	0.004	0.018	0.000
25	0.000	0.005	0.003	0.002
26	0.019	0.596	0.093	0.109
27	0.000	0.067	0.093	0.027
28	0.589	0.005	0.007	0.008
29	0.076	0.666	0.085	0.000
30	0.000	0.003	0.015	0.000
31	0.066	0.024	0.000	0.000
32	0.000	0.076	0.079	0.011
33	0.000	0.000	0.000	0.063
34	0.035	0.615	0.076	0.015
35	0.000	0.000	0.175	0.000
36	0.000	0.000	0.000	0.000
37	0.000	0.000	0.000	0.000
38	0.000	0.596	0.000	0.004
39	0.000	0.000	0.000	0.169
40	0.000	0.000	0.000	0.007
41	0.000	0.000	0.000	0.000
42	0.000	0.000	0.000	0.000
43	0.000	0.000	0.139	0.080
44	0.000	0.000	0.000	0.008
45	0.139	0.000	0.000	0.002
46	0.000	0.079	0.156	0.000
47	0.003	0.076	0.589	0.011
48	0.070	0.000	0.608	0.002
49	0.000	0.000	0.286	0.018
50	0.000	0.000	0.812	0.002
51	0.000	0.000	0.000	0.000
52	0.000	0.000	0.000	0.000
53	0.000	0.000	0.000	0.000
54	0.000	0.000	0.000	0.000
