# NodeIndex	Triplet	K-Node1	Node2-K	Intercept
1	0.042	0.220	0.058	0.010
2	0.050	0.081	0.046	0.015
3	0.461	0.169	0.249	0.236
4	0.028	0.020	0.347	0.019
5	0.117	0.204	0.182	0.062
6	0.071	0.014	0.031	0.001
7	0.152	0.067	0.165	0.050
8	0.000	0.000	0.397	0.000
9	0.000	0.000	0.000	0.000
10	0.000	0.000	0.107	0.000
11	0.031	0.224	0.078	0.002
12	0.198	0.045	0.391	0.116
13	0.142	0.081	0.443	0.146
14	0.157	0.089	0.361	0.153
15	0.171	0.159	0.109	0.164
16	0.012	0.137	0.023	0.002
17	0.085	0.307	0.064	0.064
18	0.116	0.196	0.124	0.196
19	0.015	0.007	0.003	0.001
20	0.078	0.149	0.024	0.058
21	0.099	0.144	0.045	0.045
22	0.034	0.127	0.034	0.048
23	0.125	0.186	0.092	0.100
24	0.143	0.095	0.069	0.104
25	0.082	0.058	0.043	0.016
26	0.104	0.058	0.093	0.024
27	0.017	0.081	0.067	0.024
28	0.117	0.065	0.009	0.019
29	0.176	0.179	0.133	0.035
30	0.003	0.007	0.052	0.021
31	0.016	0.076	0.080	0.059
32	0.046	0.171	0.058	0.007
33	0.000	0.158	0.000	0.000
34	0.000	0.401	0.000	0.000
35	0.000	0.000	0.000	0.000
36	0.000	0.513	0.000	0.000
37	0.000	0.091	0.000	0.000
38	0.303	0.035	0.123	0.099
39	0.004	0.036	0.031	0.028
40	0.057	0.052	0.092	0.024
41	0.022	0.030	0.015	0.002
42	0.014	0.062	0.027	0.019
43	0.006	0.065	0.140	0.026
44	0.009	0.026	0.034	0.001
45	0.037	0.070	0.012	0.044
46	0.135	0.017	0.145	0.009
47	0.144	0.059	0.060	0.071
48	0.060	0.050	0.135	0.055
49	0.169	0.178	0.074	0.039
50	0.067	0.023	0.015	0.005
51	0.009	0.008	0.006	0.006
52	0.032	0.008	0.162	0.007
53	0.075	0.052	0.046	0.023
54	0.049	0.079	0.094	0.035
