# NodeIndex	Triplet	K-Node1	Node2-K	Intercept
1	0.007	0.027	0.083	0.001
2	0.050	0.058	0.067	0.003
3	0.030	0.041	0.352	0.084
4	0.009	0.029	0.218	0.066
5	0.038	0.068	0.046	0.060
6	0.021	0.005	0.017	0.001
7	0.041	0.024	0.077	0.010
8	0.022	0.102	0.138	0.049
9	0.033	0.029	0.202	0.114
10	0.081	0.183	0.070	0.101
11	0.018	0.263	0.167	0.022
12	0.243	0.059	0.067	0.061
13	0.148	0.179	0.225	0.121
14	0.049	0.034	0.331	0.042
15	0.186	0.040	0.155	0.177
16	0.093	0.045	0.070	0.001
17	0.239	0.183	0.097	0.107
18	0.125	0.158	0.217	0.089
19	0.000	0.000	0.010	0.000
20	0.000	0.000	0.442	0.000
21	0.000	0.000	0.000	0.000
22	0.000	0.000	0.462	0.000
23	0.000	0.000	0.005	0.000
24	0.000	0.000	0.031	0.001
25	0.138	0.165	0.123	0.024
26	0.170	0.002	0.029	0.016
27	0.003	0.028	0.115	0.046
28	0.065	0.099	0.057	0.013
29	0.116	0.180	0.027	0.057
30	0.001	0.000	0.001	0.009
31	0.052	0.028	0.011	0.043
32	0.021	0.028	0.013	0.045
33	0.017	0.010	0.037	0.007
34	0.045	0.139	0.182	0.026
35	0.029	0.180	0.039	0.142
36	0.187	0.064	0.101	0.033
37	0.024	0.224	0.057	0.000
38	0.153	0.032	0.046	0.012
39	0.008	0.024	0.254	0.005
40	0.124	0.026	0.225	0.005
41	0.072	0.077	0.068	0.020
42	0.000	0.321	0.000	0.000
43	0.000	0.000	0.000	0.000
44	0.000	0.000	0.000	0.000
45	0.041	0.012	0.051	0.006
46	0.046	0.036	0.221	0.003
47	0.062	0.085	0.233	0.063
48	0.025	0.222	0.156	0.037
49	0.044	0.144	0.147	0.009
50	0.030	0.206	0.269	0.019
51	0.002	0.015	0.062	0.015
52	0.106	0.046	0.083	0.089
53	0.008	0.045	0.076	0.001
54	0.044	0.026	0.028	0.002
