# NodeIndex	Triplet	K-Node1	Node2-K	Intercept
1	0.011	0.013	0.044	0.006
2	0.020	0.122	0.007	0.019
3	0.215	0.260	0.335	0.050
4	0.028	0.139	0.364	0.012
5	0.058	0.405	0.009	0.072
6	0.018	0.040	0.127	0.040
7	0.099	0.134	0.360	0.053
8	0.123	0.276	0.200	0.154
9	0.320	0.065	0.039	0.071
10	0.140	0.320	0.123	0.055
11	0.030	0.038	0.090	0.021
12	0.000	0.000	0.392	0.000
13	0.000	0.000	0.000	0.000
14	0.000	0.000	0.620	0.000
15	0.144	0.198	0.280	0.185
16	0.003	0.003	0.130	0.001
17	0.134	0.280	0.113	0.107
18	0.082	0.217	0.098	0.167
19	0.003	0.140	0.104	0.001
20	0.114	0.153	0.136	0.009
21	0.126	0.214	0.193	0.058
22	0.073	0.375	0.139	0.054
23	0.034	0.094	0.083	0.034
24	0.050	0.112	0.065	0.018
25	0.114	0.152	0.159	0.057
26	0.126	0.273	0.116	0.011
27	0.082	0.071	0.014	0.019
28	0.041	0.031	0.030	0.037
29	0.109	0.141	0.144	0.031
30	0.001	0.006	0.005	0.007
31	0.043	0.119	0.012	0.006
32	0.047	0.128	0.013	0.005
33	0.140	0.252	0.034	0.009
34	0.067	0.052	0.034	0.117
35	0.215	0.072	0.142	0.105
36	0.178	0.284	0.015	0.088
37	0.047	0.181	0.019	0.006
38	0.057	0.047	0.338	0.085
39	0.007	0.037	0.072	0.036
40	0.023	0.041	0.028	0.036
41	0.005	0.056	0.129	0.028
42	0.000	0.152	0.000	0.000
43	0.000	0.000	0.000	0.000
44	0.000	0.000	0.000	0.000
45	0.048	0.058	0.064	0.006
46	0.143	0.020	0.088	0.042
47	0.008	0.230	0.083	0.030
48	0.129	0.081	0.056	0.028
49	0.092	0.107	0.077	0.020
50	0.013	0.036	0.188	0.016
51	0.001	0.007	0.067	0.003
52	0.165	0.027	0.073	0.037
53	0.018	0.069	0.051	0.013
54	0.009	0.044	0.042	0.018
