# NodeIndex	Triplet	K-Node1	Node2-K	Intercept
1	0.017	0.007	0.149	0.006
2	0.010	0.028	0.148	0.007
3	0.172	0.099	0.052	0.042
4	0.036	0.054	0.185	0.019
5	0.208	0.194	0.024	0.060
6	0.009	0.017	0.036	0.019
7	0.021	0.172	0.209	0.052
8	0.237	0.316	0.011	0.075
9	0.046	0.056	0.063	0.078
10	0.083	0.061	0.044	0.028
11	0.007	0.028	0.182	0.010
12	0.000	0.000	0.354	0.000
13	0.000	0.000	0.000	0.000
14	0.000	0.000	0.521	0.000
15	0.146	0.185	0.257	0.149
16	0.137	0.009	0.061	0.002
17	0.055	0.289	0.068	0.135
18	0.149	0.310	0.154	0.138
19	0.009	0.240	0.048	0.001
20	0.015	0.027	0.036	0.021
21	0.048	0.094	0.264	0.046
22	0.058	0.378	0.035	0.030
23	0.124	0.008	0.037	0.003
24	0.024	0.144	0.063	0.016
25	0.048	0.103	0.086	0.098
26	0.007	0.267	0.015	0.030
27	0.014	0.039	0.018	0.015
28	0.025	0.018	0.032	0.013
29	0.049	0.040	0.078	0.023
30	0.001	0.005	0.005	0.085
31	0.144	0.031	0.085	0.051
32	0.019	0.041	0.241	0.052
33	0.067	0.038	0.016	0.019
34	0.165	0.199	0.098	0.019
35	0.494	0.168	0.011	0.091
36	0.326	0.340	0.017	0.053
37	0.068	0.033	0.019	0.010
38	0.040	0.035	0.071	0.030
39	0.006	0.164	0.026	0.017
40	0.141	0.025	0.034	0.005
41	0.026	0.039	0.009	0.048
42	0.024	0.031	0.028	0.014
43	0.296	0.049	0.168	0.042
44	0.006	0.002	0.011	0.022
45	0.014	0.050	0.228	0.015
46	0.255	0.103	0.022	0.050
47	0.040	0.409	0.155	0.041
48	0.044	0.041	0.052	0.005
49	0.033	0.167	0.054	0.035
50	0.054	0.005	0.176	0.015
51	0.000	0.000	0.000	0.000
52	0.000	0.000	0.000	0.000
53	0.000	0.000	0.000	0.000
54	0.000	0.016	0.000	0.000
