# NodeIndex	Triplet	K-Node1	Node2-K	Intercept
1	0.021	0.090	0.016	0.003
2	0.021	0.030	0.007	0.004
3	0.089	0.200	0.089	0.052
4	0.024	0.018	0.098	0.031
5	0.050	0.100	0.296	0.029
6	0.012	0.003	0.026	0.007
7	0.090	0.529	0.079	0.201
8	0.483	0.323	0.081	0.225
9	0.000	0.000	0.031	0.000
10	0.000	0.000	0.000	0.000
11	0.000	0.000	0.001	0.000
12	0.228	0.020	0.082	0.015
13	0.184	0.115	0.128	0.048
14	0.135	0.074	0.216	0.149
15	0.095	0.116	0.081	0.033
16	0.015	0.184	0.069	0.000
17	0.042	0.207	0.046	0.065
18	0.102	0.108	0.090	0.034
19	0.189	0.089	0.010	0.001
20	0.054	0.071	0.050	0.028
21	0.047	0.055	0.031	0.087
22	0.040	0.040	0.062	0.003
23	0.032	0.359	0.060	0.101
24	0.213	0.132	0.044	0.015
25	0.009	0.034	0.116	0.002
26	0.081	0.098	0.004	0.012
27	0.031	0.032	0.051	0.028
28	0.006	0.068	0.075	0.033
29	0.082	0.253	0.030	0.079
30	0.038	0.001	0.122	0.001
31	0.101	0.042	0.013	0.051
32	0.033	0.020	0.241	0.054
33	0.000	0.001	0.000	0.000
34	0.000	0.000	0.000	0.000
35	0.000	0.370	0.000	0.000
36	0.080	0.200	0.139	0.143
37	0.106	0.043	0.057	0.000
38	0.071	0.266	0.007	0.052
39	0.006	0.035	0.008	0.059
40	0.004	0.001	0.025	0.005
41	0.050	0.006	0.004	0.000
42	0.004	0.017	0.010	0.002
43	0.141	0.073	0.161	0.084
44	0.003	0.042	0.004	0.004
45	0.005	0.001	0.062	0.006
46	0.001	0.260	0.070	0.015
47	0.127	0.139	0.113	0.005
48	0.013	0.094	0.179	0.072
49	0.020	0.092	0.145	0.037
50	0.009	0.030	0.114	0.003
51	0.003	0.075	0.021	0.002
52	0.053	0.014	0.053	0.007
53	0.064	0.036	0.143	0.024
54	0.039	0.074	0.103	0.029
