# NodeIndex	Triplet	K-Node1	Node2-K	Intercept
1	0.167	0.166	0.031	0.020
2	0.036	0.043	0.015	0.034
3	0.327	0.308	0.175	0.143
4	0.003	0.012	0.194	0.004
5	0.075	0.435	0.216	0.098
6	0.000	0.003	0.001	0.003
7	0.108	0.062	0.083	0.051
8	0.000	0.000	0.309	0.000
9	0.000	0.000	0.000	0.000
10	0.000	0.000	0.060	0.000
11	0.152	0.064	0.051	0.007
12	0.105	0.277	0.306	0.124
13	0.102	0.096	0.414	0.214
14	0.208	0.121	0.245	0.136
15	0.054	0.143	0.049	0.067
16	0.178	0.168	0.060	0.011
17	0.000	0.751	0.000	0.000
18	0.000	0.000	0.000	0.000
19	0.000	0.000	0.000	0.000
20	0.116	0.158	0.268	0.039
21	0.098	0.037	0.344	0.064
22	0.013	0.051	0.249	0.005
23	0.212	0.203	0.014	0.008
24	0.140	0.258	0.149	0.041
25	0.090	0.105	0.043	0.029
26	0.109	0.248	0.047	0.010
27	0.099	0.019	0.146	0.012
28	0.018	0.057	0.051	0.034
29	0.090	0.187	0.028	0.049
30	0.005	0.012	0.139	0.018
31	0.024	0.007	0.013	0.046
32	0.009	0.036	0.030	0.008
33	0.132	0.082	0.037	0.038
34	0.066	0.088	0.066	0.043
35	0.122	0.207	0.302	0.069
36	0.335	0.124	0.061	0.091
37	0.154	0.093	0.079	0.070
38	0.244	0.150	0.157	0.060
39	0.022	0.064	0.050	0.026
40	0.079	0.086	0.009	0.006
41	0.025	0.071	0.077	0.005
42	0.007	0.089	0.035	0.016
43	0.058	0.062	0.065	0.017
44	0.003	0.008	0.054	0.004
45	0.061	0.020	0.021	0.018
46	0.005	0.038	0.090	0.043
47	0.074	0.060	0.052	0.015
48	0.104	0.052	0.028	0.064
49	0.066	0.186	0.044	0.038
50	0.017	0.029	0.019	0.003
51	0.002	0.011	0.016	0.001
52	0.036	0.050	0.173	0.010
53	0.014	0.072	0.010	0.007
54	0.039	0.136	0.024	0.019
