# NodeIndex	Triplet	K-Node1	Node2-K	Intercept
1	0.042	0.049	0.027	0.032
2	0.044	0.019	0.096	0.006
3	0.086	0.201	0.088	0.143
4	0.023	0.047	0.124	0.004
5	0.135	0.055	0.106	0.020
6	0.001	0.004	0.106	0.007
7	0.257	0.251	0.018	0.020
8	0.276	0.401	0.008	0.088
9	0.000	0.000	0.041	0.000
10	0.000	0.000	0.000	0.000
11	0.000	0.000	0.022	0.000
12	0.012	0.012	0.157	0.007
13	0.126	0.226	0.162	0.079
14	0.011	0.355	0.059	0.078
15	0.316	0.078	0.026	0.034
16	0.072	0.048	0.119	0.007
17	0.358	0.100	0.057	0.161
18	0.094	0.096	0.097	0.250
19	0.000	0.152	0.000	0.000
20	0.000	0.433	0.000	0.000
21	0.000	0.000	0.000	0.000
22	0.000	0.241	0.000	0.000
23	0.000	0.016	0.000	0.000
24	0.000	0.241	0.000	0.000
25	0.118	0.024	0.077	0.007
26	0.088	0.114	0.214	0.037
27	0.055	0.158	0.021	0.019
28	0.040	0.148	0.104	0.033
29	0.205	0.165	0.008	0.025
30	0.003	0.004	0.006	0.000
31	0.147	0.035	0.056	0.028
32	0.128	0.032	0.052	0.011
33	0.011	0.076	0.022	0.021
34	0.063	0.073	0.221	0.018
35	0.080	0.055	0.109	0.034
36	0.092	0.055	0.038	0.135
37	0.107	0.165	0.131	0.086
38	0.017	0.168	0.045	0.018
39	0.153	0.026	0.040	0.026
40	0.027	0.035	0.031	0.055
41	0.006	0.013	0.096	0.003
42	0.007	0.010	0.042	0.001
43	0.079	0.202	0.177	0.030
44	0.022	0.003	0.029	0.032
45	0.002	0.008	0.046	0.006
46	0.001	0.009	0.019	0.004
47	0.010	0.014	0.082	0.029
48	0.157	0.149	0.064	0.030
49	0.013	0.019	0.046	0.020
50	0.053	0.009	0.095	0.007
51	0.007	0.003	0.056	0.001
52	0.007	0.014	0.107	0.012
53	0.036	0.058	0.012	0.012
54	0.020	0.066	0.083	0.009
