# NodeIndex	Triplet	K-Node1	Node2-K	Intercept
1	0.009	0.075	0.008	0.005
2	0.007	0.061	0.015	0.004
3	0.198	0.060	0.054	0.068
4	0.027	0.008	0.166	0.021
5	0.023	0.109	0.099	0.058
6	0.001	0.013	0.066	0.001
7	0.149	0.445	0.159	0.057
8	0.353	0.458	0.013	0.145
9	0.000	0.000	0.029	0.000
10	0.000	0.000	0.000	0.000
11	0.000	0.000	0.000	0.000
12	0.028	0.006	0.125	0.027
13	0.119	0.125	0.063	0.028
14	0.029	0.055	0.298	0.051
15	0.251	0.310	0.034	0.058
16	0.004	0.067	0.013	0.003
17	0.039	0.231	0.045	0.026
18	0.047	0.054	0.085	0.038
19	0.042	0.008	0.004	0.001
20	0.032	0.014	0.044	0.004
21	0.016	0.031	0.061	0.074
22	0.025	0.021	0.038	0.022
23	0.070	0.368	0.170	0.028
24	0.357	0.028	0.091	0.099
25	0.055	0.012	0.012	0.008
26	0.070	0.041	0.038	0.006
27	0.028	0.038	0.011	0.007
28	0.306	0.121	0.041	0.004
29	0.336	0.143	0.015	0.037
30	0.000	0.038	0.056	0.001
31	0.027	0.032	0.384	0.025
32	0.014	0.011	0.155	0.008
33	0.159	0.030	0.013	0.010
34	0.157	0.043	0.041	0.050
35	0.250	0.104	0.066	0.051
36	0.126	0.200	0.075	0.076
37	0.005	0.050	0.009	0.041
38	0.016	0.207	0.034	0.051
39	0.014	0.028	0.294	0.010
40	0.026	0.010	0.301	0.005
41	0.288	0.010	0.028	0.035
42	0.012	0.016	0.391	0.015
43	0.027	0.181	0.203	0.046
44	0.031	0.020	0.006	0.003
45	0.003	0.010	0.161	0.004
46	0.034	0.212	0.035	0.124
47	0.073	0.600	0.097	0.071
48	0.017	0.035	0.169	0.008
49	0.049	0.165	0.054	0.084
50	0.062	0.020	0.181	0.045
51	0.000	0.000	0.000	0.000
52	0.000	0.000	0.000	0.000
53	0.000	0.061	0.000	0.000
54	0.000	0.068	0.000	0.000
