# NodeIndex	Triplet	K-Node1	Node2-K	Intercept
1	0.016	0.025	0.054	0.009
2	0.083	0.045	0.024	0.002
3	0.041	0.368	0.144	0.031
4	0.019	0.069	0.010	0.012
5	0.138	0.342	0.076	0.093
6	0.001	0.057	0.003	0.001
7	0.118	0.211	0.133	0.044
8	0.219	0.187	0.120	0.109
9	0.074	0.238	0.284	0.064
10	0.170	0.208	0.106	0.087
11	0.052	0.033	0.043	0.005
12	0.000	0.000	0.355	0.000
13	0.000	0.000	0.000	0.000
14	0.000	0.000	0.265	0.000
15	0.009	0.427	0.007	0.014
16	0.000	0.042	0.000	0.000
17	0.000	0.000	0.000	0.000
18	0.000	0.658	0.000	0.000
19	0.000	0.002	0.000	0.000
20	0.031	0.094	0.222	0.096
21	0.208	0.211	0.103	0.088
22	0.097	0.183	0.134	0.065
23	0.085	0.111	0.114	0.004
24	0.014	0.177	0.206	0.015
25	0.016	0.179	0.031	0.137
26	0.120	0.076	0.285	0.040
27	0.095	0.042	0.117	0.024
28	0.021	0.019	0.103	0.025
29	0.033	0.208	0.221	0.046
30	0.080	0.004	0.068	0.004
31	0.069	0.088	0.022	0.004
32	0.068	0.094	0.010	0.002
33	0.101	0.107	0.110	0.025
34	0.080	0.238	0.086	0.044
35	0.098	0.284	0.098	0.116
36	0.175	0.269	0.096	0.152
37	0.021	0.191	0.149	0.100
38	0.220	0.100	0.109	0.066
39	0.052	0.058	0.010	0.042
40	0.037	0.112	0.041	0.031
41	0.012	0.109	0.052	0.076
42	0.034	0.047	0.074	0.016
43	0.066	0.137	0.136	0.046
44	0.018	0.004	0.102	0.003
45	0.006	0.018	0.100	0.006
46	0.053	0.040	0.012	0.055
47	0.098	0.047	0.030	0.064
48	0.109	0.179	0.150	0.068
49	0.062	0.118	0.109	0.093
50	0.015	0.025	0.031	0.011
51	0.014	0.006	0.027	0.000
52	0.015	0.079	0.117	0.015
53	0.025	0.061	0.038	0.027
54	0.035	0.087	0.053	0.032
