# NodeIndex	Triplet	K-Node1	Node2-K	Intercept
1	0.008	0.067	0.051	0.007
2	0.047	0.066	0.081	0.004
3	0.116	0.195	0.243	0.128
4	0.100	0.072	0.224	0.037
5	0.181	0.072	0.066	0.096
6	0.071	0.015	0.092	0.009
7	0.099	0.179	0.079	0.021
8	0.100	0.193	0.068	0.190
9	0.099	0.201	0.103	0.047
10	0.169	0.081	0.124	0.061
11	0.026	0.038	0.091	0.020
12	0.000	0.000	0.286	0.000
13	0.000	0.000	0.000	0.000
14	0.000	0.000	0.703	0.000
15	0.138	0.265	0.152	0.093
16	0.070	0.043	0.027	0.000
17	0.127	0.380	0.089	0.078
18	0.327	0.401	0.097	0.076
19	0.000	0.003	0.004	0.062
20	0.052	0.043	0.109	0.031
21	0.034	0.253	0.179	0.013
22	0.060	0.068	0.140	0.069
23	0.049	0.095	0.052	0.025
24	0.153	0.156	0.019	0.016
25	0.075	0.096	0.061	0.005
26	0.063	0.034	0.026	0.004
27	0.028	0.041	0.033	0.025
28	0.037	0.078	0.009	0.007
29	0.109	0.080	0.090	0.059
30	0.128	0.019	0.007	0.001
31	0.110	0.087	0.063	0.036
32	0.149	0.013	0.109	0.072
33	0.000	0.000	0.000	0.000
34	0.000	0.000	0.000	0.000
35	0.000	0.544	0.000	0.000
36	0.196	0.279	0.107	0.109
37	0.089	0.053	0.020	0.001
38	0.063	0.306	0.096	0.115
39	0.114	0.097	0.071	0.020
40	0.044	0.213	0.039	0.073
41	0.090	0.064	0.025	0.001
42	0.006	0.097	0.093	0.010
43	0.052	0.041	0.244	0.016
44	0.036	0.026	0.007	0.001
45	0.093	0.020	0.010	0.021
46	0.022	0.013	0.063	0.028
47	0.079	0.035	0.098	0.091
48	0.201	0.150	0.128	0.009
49	0.085	0.127	0.107	0.047
50	0.016	0.024	0.030	0.011
51	0.055	0.010	0.041	0.003
52	0.072	0.087	0.027	0.025
53	0.029	0.076	0.117	0.010
54	0.077	0.082	0.083	0.009
