# NodeIndex	Triplet	K-Node1	Node2-K	Intercept
1	0.000	0.001	0.227	0.006
2	0.000	0.000	0.227	0.000
3	0.000	0.000	0.000	0.000
4	0.000	0.000	0.987	0.000
5	0.000	0.000	0.000	0.000
6	0.221	0.000	0.001	0.000
7	0.000	0.921	0.000	0.061
8	0.000	0.071	0.000	0.069
9	0.000	0.000	0.000	0.000
10	0.000	0.000	0.000	0.000
11	0.228	0.064	0.000	0.059
12	0.000	0.071	0.000	0.000
13	0.000	0.000	0.000	0.000
14	0.000	0.000	0.000	0.000
15	0.000	0.221	0.000	0.060
16	0.000	0.005	0.000	0.000
17	0.000	0.221	0.000	0.000
18	0.000	0.221	0.000	0.004
19	0.000	0.000	0.064	0.000
20	0.000	0.000	0.000	0.000
21	0.000	0.000	0.000	0.000
22	0.000	0.700	0.000	0.000
23	0.000	0.001	0.000	0.007
24	0.000	0.000	0.000	0.007
25	0.000	0.000	0.001	0.064
26	0.000	0.000	0.000	0.000
27	0.000	0.000	0.000	0.011
28	0.000	0.000	0.000	0.000
29	0.000	0.000	0.000	0.251
30	0.000	0.000	0.000	0.000
31	0.000	0.000	0.000	0.000
32	0.000	0.000	0.000	0.000
33	0.000	0.000	0.000	0.000
34	0.000	0.070	0.000	0.000
35	0.000	0.000	0.000	0.000
36	0.000	0.000	0.000	0.000
37	0.000	0.997	0.000	0.023
38	0.001	0.221	0.000	0.234
39	0.000	0.000	0.005	0.000
40	0.000	0.000	0.012	0.009
41	0.000	0.000	0.007	0.007
42	0.000	0.072	0.000	0.000
43	0.000	0.000	0.000	0.000
44	0.000	0.000	0.000	0.000
45	0.001	0.000	0.000	0.000
46	0.000	0.005	0.765	0.003
47	0.005	0.000	0.703	0.002
48	0.000	0.000	0.008	0.043
49	0.001	0.000	0.000	0.202
50	0.000	0.000	0.221	0.038
51	0.000	0.000	0.000	0.000
52	0.000	0.000	0.001	0.005
53	0.012	0.068	0.031	0.007
54	0.090	0.197	0.254	0.005
