# NodeIndex	Triplet	K-Node1	Node2-K	Intercept
1	0.016	0.043	0.006	0.022
2	0.009	0.051	0.061	0.015
3	0.249	0.679	0.027	0.256
4	0.042	0.520	0.173	0.179
5	0.000	0.000	0.048	0.000
6	0.000	0.000	0.276	0.000
7	0.000	0.000	0.000	0.000
8	0.000	0.000	0.461	0.000
9	0.138	0.167	0.072	0.046
10	0.447	0.080	0.030	0.096
11	0.035	0.032	0.055	0.012
12	0.155	0.047	0.144	0.072
13	0.079	0.383	0.055	0.162
14	0.056	0.470	0.025	0.063
15	0.078	0.089	0.200	0.066
16	0.005	0.002	0.041	0.013
17	0.168	0.076	0.051	0.117
18	0.163	0.125	0.087	0.136
19	0.000	0.166	0.000	0.000
20	0.000	0.417	0.000	0.000
21	0.000	0.000	0.000	0.000
22	0.000	0.375	0.000	0.000
23	0.000	0.004	0.000	0.000
24	0.000	0.148	0.000	0.002
25	0.027	0.078	0.079	0.015
26	0.126	0.103	0.170	0.003
27	0.033	0.009	0.098	0.033
28	0.025	0.067	0.054	0.007
29	0.156	0.042	0.237	0.078
30	0.001	0.053	0.024	0.000
31	0.011	0.183	0.027	0.017
32	0.081	0.018	0.125	0.013
33	0.007	0.071	0.011	0.004
34	0.068	0.187	0.305	0.029
35	0.056	0.209	0.242	0.079
36	0.052	0.232	0.047	0.148
37	0.028	0.136	0.173	0.078
38	0.122	0.063	0.032	0.020
39	0.178	0.127	0.008	0.010
40	0.026	0.011	0.093	0.006
41	0.011	0.006	0.023	0.015
42	0.053	0.016	0.150	0.007
43	0.069	0.033	0.039	0.028
44	0.005	0.011	0.002	0.000
45	0.134	0.005	0.078	0.034
46	0.008	0.033	0.021	0.006
47	0.171	0.031	0.162	0.004
48	0.013	0.008	0.096	0.022
49	0.137	0.024	0.080	0.005
50	0.105	0.016	0.077	0.009
51	0.010	0.017	0.006	0.012
52	0.082	0.017	0.109	0.036
53	0.028	0.012	0.050	0.006
54	0.013	0.014	0.062	0.006
