# NodeIndex	Triplet	K-Node1	Node2-K	Intercept
1	0.106	0.056	0.001	0.006
2	0.000	0.000	0.041	0.000
3	0.000	0.000	0.000	0.000
4	0.000	0.000	0.673	0.000
5	0.000	0.000	0.245	0.000
6	0.000	0.001	0.191	0.000
7	0.411	0.440	0.016	0.138
8	0.074	0.566	0.181	0.301
9	0.000	0.332	0.000	0.000
10	0.000	0.000	0.000	0.000
11	0.000	0.000	0.000	0.000
12	0.010	0.252	0.010	0.073
13	0.072	0.494	0.079	0.338
14	0.256	0.138	0.056	0.053
15	0.009	0.241	0.171	0.029
16	0.215	0.017	0.023	0.027
17	0.006	0.282	0.070	0.016
18	0.032	0.316	0.010	0.020
19	0.059	0.005	0.006	0.002
20	0.007	0.024	0.012	0.061
21	0.005	0.016	0.060	0.008
22	0.134	0.036	0.039	0.052
23	0.356	0.256	0.051	0.097
24	0.219	0.060	0.384	0.093
25	0.191	0.007	0.060	0.036
26	0.029	0.070	0.237	0.000
27	0.011	0.000	0.034	0.048
28	0.178	0.176	0.002	0.086
29	0.191	0.029	0.235	0.004
30	0.033	0.004	0.005	0.006
31	0.000	0.000	0.017	0.000
32	0.013	0.041	0.000	0.000
33	0.001	0.031	0.218	0.000
34	0.084	0.341	0.089	0.073
35	0.228	0.474	0.029	0.017
36	0.025	0.047	0.227	0.038
37	0.260	0.043	0.038	0.066
38	0.027	0.249	0.412	0.008
39	0.029	0.000	0.005	0.000
40	0.000	0.037	0.000	0.000
41	0.000	0.000	0.000	0.000
42	0.000	0.000	0.004	0.000
43	0.000	0.000	0.000	0.000
44	0.000	0.000	0.000	0.000
45	0.001	0.000	0.001	0.000
46	0.000	0.002	0.000	0.000
47	0.000	0.002	0.000	0.000
48	0.000	0.000	0.000	0.000
49	0.000	0.000	0.069	0.000
50	0.000	0.000	0.000	0.000
51	0.000	0.000	0.000	0.001
52	0.000	0.000	0.000	0.000
53	0.001	0.000	0.005	0.000
54	0.004	0.000	0.001	0.000
